gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,Neuron__Sham,Neuron__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke,T_cell__Sham,T_cell__Stroke
Fn1,0.7737479,0.81999534,1.6083412,1.984312,0.17020895,0.5145716,0.18550901,0.40804052,0.05154765,0.17690066,0.18581721,0.34410724,0.14336115,0.42334855,0.09995714,0.27388486,0.38560218,0.367344,0.1498087,0.22576363
Cxcl9,0.0,0.0011760094,0.0013733017,0.00072891935,0.04692237,0.018182168,0.0,0.001228021,0.0,0.0,0.0,0.00028339002,0.0,0.0006921325,0.0,0.0007267461,0.00043278618,0.0,0.0,0.0
Tlr4,0.017972136,0.035196215,0.010502443,0.02121258,0.044845834,0.06800359,0.05601422,0.0746016,0.0065495432,0.0047741323,0.0,0.006404432,0.0,0.008295566,0.00011191719,0.0043878723,0.015681213,0.029368717,0.0,0.00429678
Cd109,0.268012,0.4091343,0.00096121465,0.0019492614,0.0,0.0018739407,0.0,0.0028630304,0.0011584983,0.0028461944,0.0062625105,0.011919454,0.0,0.016166968,0.0,0.0036404922,0.0037998662,0.008861877,0.0,0.0
Stat6,0.10516196,0.08725842,0.171608,0.15735172,0.279243,0.25810453,0.17147316,0.17007664,0.059193388,0.06398424,0.01715538,0.042572543,0.03351446,0.11992863,0.013145856,0.026331414,0.2530203,0.25032187,0.19115154,0.1986695
Nfkbia,0.60256284,0.63455343,1.9643227,1.9450332,1.8004727,1.8319944,1.7882923,1.6419512,0.40298095,0.4873941,0.3803051,0.46060833,0.532729,0.61486673,0.5874397,0.7757967,1.2371128,1.0831237,1.9458876,1.8633336
Msr1,0.0,0.0015041956,0.0,0.0012507918,0.17267245,0.28201938,0.012807864,0.19282098,0.00037187675,0.003741912,0.0,0.0037367265,0.0,0.0010716951,0.0,0.002410687,0.0,0.0012152755,0.0,0.0
Ftl1,1.8736993,2.1675012,2.016468,1.8885193,3.5538237,3.9736981,2.5611923,3.5395877,2.1581206,2.1067955,1.4875448,1.8857764,2.1937313,2.2547555,2.338581,2.2702947,1.8595849,1.7410233,2.0101235,1.9444357
Mgl2,0.0,0.0,0.0,0.000103994535,0.5463638,0.20987263,0.0032862616,0.0018130739,0.0004001904,0.00042852966,0.009081305,0.0071904813,0.0,0.0,0.0006384977,0.00024471857,0.0,0.0,0.0,0.0
Il6,0.0012071907,0.0026374126,4.5780165e-05,0.000411613,0.0,0.008997472,0.03216632,0.013575655,0.0,0.0,0.0026425729,0.0003734811,0.0038459124,0.006224213,0.00038019053,0.0009389259,0.0067594857,0.017627936,0.0,0.0
