"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","timepoint","cell_type"
0.3886528217167,-0.0875708902247878,0.222,0.191,1,"Mier1","D7","Endothelial"
0.389585299627317,-0.125698959034044,0.149,0.126,1,"Lhfpl2","D7","Endothelial"
0.390756239590463,-0.234853124586657,0.127,0.106,1,"Tbc1d12","D7","Endothelial"
0.392402496207685,-0.110730541011974,0.315,0.27,1,"Map4","D7","Endothelial"
0.393194062300146,-0.163017281881403,0.13,0.109,1,"Mia3","D7","Endothelial"
0.39378713317812,-0.0650483978122602,0.299,0.262,1,"Pcmtd1","D7","Endothelial"
0.394947611929741,-0.0326730201542142,0.331,0.291,1,"Prom1","D7","Endothelial"
0.395349278984139,-0.0111840997182671,0.174,0.151,1,"Luc7l3","D7","Endothelial"
0.396690700568133,-0.293076926845009,0.1,0.083,1,"Rlf","D7","Endothelial"
0.39684996490586,-0.0901342994454783,0.264,0.228,1,"Rhobtb1","D7","Endothelial"
0.399698375266223,-0.229548642213304,0.347,0.347,1,"Itm2a","D7","Endothelial"
0.400108735756938,-0.483705453960547,0.119,0.132,1,"Pdap1","D7","Endothelial"
0.400364103191586,-0.0632962230396301,0.228,0.2,1,"Rasip1","D7","Endothelial"
0.40080950291843,-0.381909864110078,0.199,0.211,1,"Rps7","D7","Endothelial"
0.400916702969422,-0.469866015014119,0.166,0.177,1,"Eif3a","D7","Endothelial"
0.402326783464928,0.163420006159295,0.114,0.098,1,"Nsg2","D7","Endothelial"
0.405487897647174,-0.0826903426824145,0.116,0.098,1,"Cavin1","D7","Endothelial"
0.40551455883084,-0.050432481508933,0.336,0.291,1,"Dab2ip","D7","Endothelial"
0.406455215111404,-0.0188568574244221,0.108,0.091,1,"Pclo","D7","Endothelial"
0.407886378291009,0.0520750087995785,0.103,0.087,1,"Pik3ip1","D7","Endothelial"
0.4091187385562,0.0162270647339124,0.124,0.106,1,"9930021J03Rik","D7","Endothelial"
0.409580261384181,-0.0567969453287884,0.257,0.223,1,"Actn4","D7","Endothelial"
0.410945505976637,-0.253865437588936,0.349,0.345,1,"Nrxn1","D7","Endothelial"
0.411009965301333,-0.46410358715454,0.15,0.162,1,"Morf4l1","D7","Endothelial"
0.412328490619116,-0.0158097857107102,0.119,0.102,1,"Sertad2","D7","Endothelial"
0.413273142108627,-0.493611891917798,0.114,0.126,1,"Atp6v1f","D7","Endothelial"
0.414330247542468,-0.0111297865937721,0.319,0.283,1,"Fermt2","D7","Endothelial"
0.41504189517902,0.0703202203037019,0.114,0.098,1,"Sarnp","D7","Endothelial"
0.41540215566302,-0.394039755817855,0.218,0.226,1,"Hsp90b1","D7","Endothelial"
0.417850723538056,-0.644196925395181,0.135,0.145,1,"Smarca5","D7","Endothelial"
0.418066789168888,-0.0384903837215633,0.356,0.313,1,"Cobll1","D7","Endothelial"
0.418308447790896,-0.0977974748389853,0.127,0.109,1,"Paxbp1","D7","Endothelial"
0.418503243678687,-0.496191913604742,0.092,0.104,1,"Tmc7","D7","Endothelial"
0.418525571678389,0.0792181607005214,0.107,0.091,1,"Erp29","D7","Endothelial"
0.420025155242027,-0.0329363048107496,0.234,0.204,1,"Rsbn1l","D7","Endothelial"
0.424677815166952,-0.230490164902628,0.312,0.313,1,"H3f3b","D7","Endothelial"
0.42488822265825,-0.392304908601132,0.151,0.162,1,"Tuba1b","D7","Endothelial"
0.425391489611337,0.0380124553607535,0.104,0.089,1,"Prickle2","D7","Endothelial"
0.425456480139283,-0.052555110828592,0.183,0.157,1,"Myo6","D7","Endothelial"
0.427061517693118,-0.565976770689493,0.091,0.102,1,"Zmat2","D7","Endothelial"
0.427758720814946,-0.459148749412643,0.092,0.104,1,"Mfsd4a","D7","Endothelial"
0.429494213198338,-0.163324176699973,0.174,0.149,1,"Ubap2l","D7","Endothelial"
0.43173335582454,0.0750401066822939,0.127,0.111,1,"Rab11a","D7","Endothelial"
0.435263821156365,0.00737514206303552,0.123,0.106,1,"Crebrf","D7","Endothelial"
0.435323343549375,-0.150532297166707,0.104,0.087,1,"Acyp2","D7","Endothelial"
0.438837866376931,-0.00913703956450296,0.185,0.164,1,"H2-K1","D7","Endothelial"
0.439613157919708,-0.109481664556969,0.154,0.134,1,"Herc4","D7","Endothelial"
0.440031368607386,-0.095988515568288,0.12,0.102,1,"Csmd3","D7","Endothelial"
0.440798521407719,-0.092262646429456,0.103,0.087,1,"Sgms2","D7","Endothelial"
0.441426614663583,-0.348436712802697,0.146,0.157,1,"Sumo2","D7","Endothelial"
0.442062340649953,-0.178936949194676,0.134,0.115,1,"Alas1","D7","Endothelial"
0.443058686691922,-0.155769943567486,0.106,0.089,1,"Ncald","D7","Endothelial"
0.449263765893819,-0.0734371878732072,0.301,0.264,1,"Ctnnb1","D7","Endothelial"
0.449626368135887,-0.0794954425544313,0.166,0.145,1,"Gng11","D7","Endothelial"
0.450187395940258,-0.0653699246711539,0.43,0.37,1,"Meg3","D7","Endothelial"
0.450211147388161,-0.026137006704269,0.432,0.381,1,"Ly6e","D7","Endothelial"
0.452871834857514,-0.375262662685697,0.191,0.2,1,"Eif4g2","D7","Endothelial"
0.45465552532589,-0.0730587817287826,0.111,0.096,1,"Rybp","D7","Endothelial"
0.454954115171495,-0.0961308664982159,0.544,0.513,1,"Cldn5","D7","Endothelial"
0.45586809553441,-0.377684019862939,0.161,0.17,1,"Slc25a3","D7","Endothelial"
0.456118937049315,-0.0221565866328902,0.116,0.1,1,"Dnm1","D7","Endothelial"
0.45633240092733,-0.0565119834107892,0.191,0.168,1,"Ybx1","D7","Endothelial"
0.457557477940864,-0.403033612303373,0.108,0.119,1,"Map7d1","D7","Endothelial"
0.459647139790864,0.00428896878628793,0.13,0.113,1,"Cbx6","D7","Endothelial"
0.460152765484332,-0.0848635454947964,0.212,0.185,1,"Ppp1r13b","D7","Endothelial"
0.460987232688536,-0.592211835609392,0.103,0.113,1,"Prdx2","D7","Endothelial"
0.461412868046973,-0.216446115489156,0.134,0.115,1,"Zwint","D7","Endothelial"
0.461849568654917,-0.0245091539337545,0.143,0.126,1,"Gcc2","D7","Endothelial"
0.462250030517162,-0.0336198453787939,0.212,0.187,1,"Nptn","D7","Endothelial"
0.463720826551339,-0.320176351840558,0.126,0.106,1,"Gm4258","D7","Endothelial"
0.463914493421456,-0.117620083492772,0.233,0.202,1,"Ktn1","D7","Endothelial"
0.466119454441992,-0.189541384675107,0.137,0.117,1,"Tle1","D7","Endothelial"
0.467948853727569,-0.0830881580042081,0.102,0.087,1,"Gde1","D7","Endothelial"
0.469313772083795,-0.387346718712437,0.186,0.194,1,"H2-D1","D7","Endothelial"
0.469938131655462,-0.530178042663387,0.115,0.123,1,"Kcnq5","D7","Endothelial"
0.471469741633645,-0.258891233380303,0.122,0.104,1,"Clcn3","D7","Endothelial"
0.472525189923555,-0.240707589631058,0.118,0.1,1,"Glcci1","D7","Endothelial"
0.473010566581396,-0.307107000172394,0.103,0.115,1,"Ndufb8","D7","Endothelial"
0.473469571477814,-0.459666135839762,0.221,0.221,1,"Atp1a1","D7","Endothelial"
0.473738627346405,-0.165758274297972,0.145,0.126,1,"Cast","D7","Endothelial"
0.473918652846715,-0.234762587046815,0.147,0.128,1,"March7","D7","Endothelial"
0.475970242278606,-0.121507978282739,0.126,0.109,1,"Brd1","D7","Endothelial"
0.476570671175447,-0.108929917014526,0.256,0.226,1,"Col4a2","D7","Endothelial"
0.477209012459833,-0.0358260760105032,0.108,0.094,1,"Kcnh7","D7","Endothelial"
0.477794656282694,-0.128463595019031,0.325,0.281,1,"Prrc2c","D7","Endothelial"
0.478562842457368,-0.467288090213556,0.114,0.123,1,"Gap43","D7","Endothelial"
0.478721851666406,-0.477473531643836,0.09,0.1,1,"Hdgfl3","D7","Endothelial"
0.480377315553162,-0.0997205935775258,0.424,0.362,1,"Col4a3bp","D7","Endothelial"
0.481091268418573,-0.0330480446098433,0.229,0.204,1,"Top1","D7","Endothelial"
0.482389880767614,-0.160628938411052,0.13,0.113,1,"Prdm2","D7","Endothelial"
0.482931574437404,-0.0610030446582601,0.419,0.364,1,"Spag9","D7","Endothelial"
0.484935881970959,0.0963422956137111,0.13,0.115,1,"Gabarap","D7","Endothelial"
0.485575329206881,-0.39899266918496,0.095,0.104,1,"Tuba4a","D7","Endothelial"
0.486426318191284,-0.567217116953072,0.135,0.143,1,"Tm9sf3","D7","Endothelial"
0.487812745338076,-0.0352975012660398,0.112,0.098,1,"4732471J01Rik","D7","Endothelial"
0.490318962971946,-0.394646888462436,0.09,0.1,1,"Ctdspl2","D7","Endothelial"
0.490714843846346,-0.131992597158872,0.562,0.523,1,"Ptprd","D7","Endothelial"
