"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.77019755609716e-15,-1.24364844353394,0.168,0.373,7.35792172874966e-11,"Anks1b"
1.83189218561875e-10,-1.24470074225333,0.092,0.225,4.86568883422197e-06,"Ppfia2"
1.82766734032632e-06,-1.24884206906283,0.056,0.134,0.0485446722264074,"Sox5"
1.34329983400126e-07,-1.25117863825233,0.158,0.287,0.00356793868909076,"Negr1"
4.47620708285447e-08,-1.25258604584875,0.088,0.196,0.00118892536327698,"Foxo3"
2.66229378757509e-07,-1.25754037404311,0.066,0.158,0.00707131852917819,"Pcdh17"
1.09138770837247e-07,-1.25822429535307,0.118,0.234,0.00289883489220812,"Gigyf2"
8.24932907152236e-16,-1.2585049976907,0.222,0.445,2.19110429468705e-11,"Ncor1"
5.71938908903659e-08,-1.26167282658267,0.112,0.23,0.00151912693593901,"Atf7ip"
2.68807520180935e-13,-1.26274943764048,0.236,0.435,7.1397965435258e-09,"Arglu1"
9.26937145313184e-07,-1.26691273637776,0.057,0.139,0.0246203775166635,"Scn8a"
1.06522082609018e-08,-1.26745693510729,0.077,0.187,0.000282933303617813,"Slc22a17"
3.90774146844722e-07,-1.26770113500011,0.052,0.134,0.0103793521143427,"Fam171b"
5.57267629007248e-08,-1.26916294241386,0.119,0.239,0.00148015854940615,"Fas"
1.36369973613754e-07,-1.2705730398342,0.094,0.201,0.00362212286915492,"Xkr4"
1.38093091234978e-06,-1.27388234797758,0.055,0.134,0.0366789059629224,"Epb41l3"
3.7283591517255e-14,-1.27939872594866,0.189,0.388,9.90289474289809e-10,"Mllt10"
2.331710495667e-25,-1.28215725647211,0.276,0.589,6.19325624754111e-21,"Msi2"
9.65436973408905e-08,-1.28366799948348,0.086,0.191,0.00256429714507139,"Cbfa2t2"
1.82463677503011e-09,-1.28386187954098,0.06,0.163,4.84641773815749e-05,"Ptprn"
1.41961720922366e-21,-1.28523334639523,0.218,0.488,3.77064526941895e-17,"Arhgap26"
3.28064856396796e-07,-1.28780820696694,0.105,0.215,0.0087137306507553,"Acyp2"
3.07821938409715e-14,-1.29051230124051,0.149,0.335,8.17605850610044e-10,"Nos3"
1.52269159442521e-16,-1.29055581692262,0.198,0.426,4.04442114395279e-12,"Mdga2"
1.66607894599623e-10,-1.29158514239002,0.118,0.263,4.42527228846058e-06,"Rims1"
2.24789755407268e-07,-1.29218183755367,0.096,0.201,0.00597064069337245,"Tcaf1"
2.46490569884299e-08,-1.29242402810778,0.13,0.258,0.000654703602669687,"Cdkal1"
3.56315099457633e-07,-1.29345126159654,0.083,0.182,0.00946408535669418,"Hes1"
4.09331082078908e-07,-1.29519342773942,0.071,0.163,0.0108722428710979,"Kcnq3"
4.31212802857201e-08,-1.29575225307328,0.115,0.234,0.00114534432566901,"Gcnt2"
4.77191407138472e-09,-1.29888006282148,0.058,0.158,0.000126746809650049,"Tafa1"
1.44046596636906e-06,-1.30019042351904,0.113,0.215,0.0382602165327285,"Tasor"
1.62559622295748e-06,-1.30162230901841,0.082,0.172,0.0431774612779736,"Nmt2"
5.52650664507962e-08,-1.30165767829245,0.128,0.249,0.0014678954299996,"Xpr1"
1.94827211937386e-14,-1.3026289107142,0.168,0.364,5.17480557626892e-10,"Tek"
4.10445314212505e-07,-1.30517046125088,0.081,0.177,0.0109018379907984,"Smarcad1"
4.87137655486498e-12,-1.30649287085743,0.186,0.368,1.29388632673769e-07,"Ccser1"
