"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","comparison"
0.656704429260698,0.502070573736848,0.103,0.097,1,"Klf15","Pericyte","MCAO_vs_Sham"
0.656824397957331,-0.0154288084989482,0.375,0.352,1,"Eif3c","Pericyte","MCAO_vs_Sham"
0.657018171746434,-0.00723433581711452,0.208,0.227,1,"Mier1","Pericyte","MCAO_vs_Sham"
0.657059586702135,0.142352551166155,0.406,0.396,1,"Snrpf","Pericyte","MCAO_vs_Sham"
0.657339835973246,0.00857171055767214,0.32,0.343,1,"Pth1r","Pericyte","MCAO_vs_Sham"
0.657453148850902,0.281047298952247,0.111,0.103,1,"Nkap","Pericyte","MCAO_vs_Sham"
0.657885468722701,-0.0333881723372391,0.688,0.654,1,"Gabarap","Pericyte","MCAO_vs_Sham"
0.657898847038009,0.241434471506416,0.124,0.115,1,"Hdac5","Pericyte","MCAO_vs_Sham"
0.658258015909138,-0.168561835924913,0.205,0.212,1,"Egln2","Pericyte","MCAO_vs_Sham"
0.658313880809728,-0.368903398305955,0.114,0.121,1,"Vps4a","Pericyte","MCAO_vs_Sham"
0.658577630076095,-0.114041855811066,0.201,0.212,1,"Tmem11","Pericyte","MCAO_vs_Sham"
0.658804126753727,0.0519736188090768,0.156,0.143,1,"Imp4","Pericyte","MCAO_vs_Sham"
0.659021476710315,-0.100377051454894,0.134,0.143,1,"Pck2","Pericyte","MCAO_vs_Sham"
0.659125982506677,-0.266463789922314,0.109,0.115,1,"Nkiras2","Pericyte","MCAO_vs_Sham"
0.659465111816919,-0.073027153280977,0.376,0.383,1,"Fam195b","Pericyte","MCAO_vs_Sham"
0.659527936593305,0.181948053082095,0.118,0.109,1,"Ranbp3","Pericyte","MCAO_vs_Sham"
0.659831598419817,-0.157013944092071,0.163,0.171,1,"Txnl4a","Pericyte","MCAO_vs_Sham"
0.660008313887404,-0.120435289039641,0.106,0.115,1,"Ntpcr","Pericyte","MCAO_vs_Sham"
0.66007257356728,-0.406335990607441,0.11,0.115,1,"Ddx46","Pericyte","MCAO_vs_Sham"
0.660132454752471,0.143129283458452,0.608,0.607,1,"Slc6a20a","Pericyte","MCAO_vs_Sham"
0.660186919398627,-0.285611915487433,0.17,0.174,1,"Atp6v1a","Pericyte","MCAO_vs_Sham"
0.661083311904522,-0.19575072563055,0.23,0.237,1,"Phf5a","Pericyte","MCAO_vs_Sham"
0.661281909890962,-0.00589772312339087,0.2,0.19,1,"4933434E20Rik","Pericyte","MCAO_vs_Sham"
0.662049175497304,-0.291359158522984,0.163,0.168,1,"Ino80e","Pericyte","MCAO_vs_Sham"
0.663559274000701,-0.10850904650015,0.192,0.202,1,"Pcbd2","Pericyte","MCAO_vs_Sham"
0.663896442686067,-0.241695723554551,0.102,0.109,1,"Hspg2","Pericyte","MCAO_vs_Sham"
0.6639777057711,-0.0827488562828356,0.348,0.352,1,"Selt","Pericyte","MCAO_vs_Sham"
0.66429351169612,-0.274461264389249,0.14,0.15,1,"Lmo4","Pericyte","MCAO_vs_Sham"
0.664421731752283,0.0629504930810038,0.191,0.178,1,"Gng2","Pericyte","MCAO_vs_Sham"
0.664545923564805,0.173280701004042,0.216,0.206,1,"Dld","Pericyte","MCAO_vs_Sham"
0.66531200923249,0.105867691493157,0.179,0.168,1,"Qdpr","Pericyte","MCAO_vs_Sham"
0.665652053998385,0.016065350880184,0.14,0.153,1,"Glod4","Pericyte","MCAO_vs_Sham"
0.666300318754569,-0.111553582920273,0.191,0.174,1,"Pcdh1","Pericyte","MCAO_vs_Sham"
0.666754329485196,-0.078072138348698,0.289,0.299,1,"Arpc1a","Pericyte","MCAO_vs_Sham"
0.667335777737913,-0.190518132790162,0.096,0.103,1,"Ptges","Pericyte","MCAO_vs_Sham"
0.667873379414819,-0.193783412186101,0.095,0.103,1,"Gm10053","Pericyte","MCAO_vs_Sham"
0.668351222792907,-0.0530269431173075,0.221,0.234,1,"Akap13","Pericyte","MCAO_vs_Sham"
0.668629878532443,-0.14993482206187,0.23,0.24,1,"Grina","Pericyte","MCAO_vs_Sham"
0.669022272168213,-0.401368072882923,0.143,0.15,1,"A430005L14Rik","Pericyte","MCAO_vs_Sham"
0.669105806377097,0.122487118486697,0.165,0.156,1,"Fam49b","Pericyte","MCAO_vs_Sham"
0.669392740087062,0.0511471011706563,0.319,0.305,1,"Zfand5","Pericyte","MCAO_vs_Sham"
0.669568937829998,-0.199509641131472,0.098,0.106,1,"Pla2r1","Pericyte","MCAO_vs_Sham"
0.669584151485005,0.0951095433279132,0.286,0.271,1,"Manbal","Pericyte","MCAO_vs_Sham"
0.669804282703663,-0.101165811189014,0.163,0.174,1,"Rfc2","Pericyte","MCAO_vs_Sham"
0.670738364429285,-0.0608563281848681,0.242,0.255,1,"Lamb2","Pericyte","MCAO_vs_Sham"
0.671293270365514,-0.079008344612893,0.162,0.171,1,"Osgep","Pericyte","MCAO_vs_Sham"
0.671656445328037,0.148840857621624,0.136,0.128,1,"Thap7","Pericyte","MCAO_vs_Sham"
0.672185188794469,-0.196321304787618,0.117,0.125,1,"Rtca","Pericyte","MCAO_vs_Sham"
0.672405996166602,-0.190763333025985,0.11,0.118,1,"Smim4","Pericyte","MCAO_vs_Sham"
