"gene","gene_upper","log2FC","pvalue","padj","dataset","cell_type","threshold_used"
"Khdc4","KHDC4",1.6653668154717,3.03369166605124e-19,8.0577884341987e-15,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Mast2","MAST2",1.66508149471273,1.01842626604964e-21,2.70504200525445e-17,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Mcm9","MCM9",1.66192053536531,4.60503489326661e-07,0.0122314331800054,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tfdp1","TFDP1",1.66017693576532,1.30381217867109e-06,0.0346305552776827,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Utp6","UTP6",1.65841324721404,3.35405812291121e-07,0.00890871378026446,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Igbp1","IGBP1",1.6575184514165,5.58288376492457e-07,0.0148286975680162,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Bcar3","BCAR3",1.65680255396348,5.85385608584519e-09,0.000155484271496134,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Wdr5","WDR5",1.65087844844014,2.56324723064626e-07,0.00680824096931953,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ubqln1","UBQLN1",1.6494936507717,4.41876715364815e-11,1.17366874368048e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Mtmr2","MTMR2",1.64604218532674,1.65672907735434e-14,4.40043810236087e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rbms3","RBMS3",1.64523777393066,1.42842595168986e-38,3.79404217028344e-34,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ube2i","UBE2I",1.6420416353369,2.19379411171908e-19,5.82693654013704e-15,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Aff1","AFF1",1.63779995016651,1.77529242815659e-24,4.71535421842673e-20,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Wdfy1","WDFY1",1.63593699921003,4.02143870106299e-19,1.06813433338934e-14,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Dgcr2","DGCR2",1.63363529225798,4.0620914736789e-10,1.07893211632385e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Trim24","TRIM24",1.6324967323941,9.52392809393038e-17,2.52965054102885e-12,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tmem214","TMEM214",1.63016170182864,1.31705551142317e-07,0.00349823114389109,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Col4a2","COL4A2",1.62382659470532,3.33859476693303e-33,8.86764156045082e-29,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rasl12","RASL12",1.62367806243849,3.89088770419507e-13,1.03345868311125e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Gm13889","GM13889",1.62356199850238,5.72680062911384e-11,1.52109551509893e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Trmt1","TRMT1",1.62181252474432,1.28112917555697e-08,0.000340280720319687,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Zfp697","ZFP697",1.61985029012471,1.21285398007542e-12,3.22146145647833e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Atf1","ATF1",1.61977709327056,6.74567453003084e-11,1.79171861192149e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Stt3a","STT3A",1.618750492004,6.20784874098772e-11,1.64886670409375e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Hbb-bs","HBB-BS",1.61852490826593,3.56890927738783e-10,9.47937993166982e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Map2k1","MAP2K1",1.61792570779255,2.34697836884366e-16,6.23380924548563e-12,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nfkbiz","NFKBIZ",1.61458390054973,4.03906771986384e-10,1.07281677707303e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cep192","CEP192",1.60851123782902,6.29931394831472e-10,1.67316077781187e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rhbdf1","RHBDF1",1.60559821933935,1.3674509931318e-07,0.00363208658285738,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tmtc3","TMTC3",1.6022457133651,1.46926947239173e-06,0.0390252664561968,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tmem128","TMEM128",1.6020155746337,8.720024008301e-07,0.0231612557684483,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rab11fip3","RAB11FIP3",1.5976794359273,1.76819293859961e-11,4.69649726421443e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Agap2","AGAP2",1.59142586997298,7.39277142943421e-07,0.0196359401937202,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Junb","JUNB",1.58015221799004,1.20902035137109e-18,3.21127895527675e-14,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nhs","NHS",1.5797222208399,2.73553353243221e-16,7.2658506154932e-12,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Vmp1","VMP1",1.57769343033819,6.78854864607426e-23,1.80310640588378e-18,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Exoc1","EXOC1",1.57588821459323,8.58856339171762e-11,2.28120832247412e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Casp8ap2","CASP8AP2",1.57587455057959,1.1058417795065e-06,0.0293722635054721,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Slc39a1","SLC39A1",1.57501002914574,1.71710289860286e-07,0.00456079700897906,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Pik3r1","PIK3R1",1.57315947514715,6.6598169217782e-30,1.76891397259351e-25,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Per3","PER3",1.57252280093654,4.78327059448005e-09,0.000127048450259985,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rasa2","RASA2",1.57217698967627,1.13462240797942e-17,3.01367057783414e-13,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Eif3b","EIF3B",1.56685133066875,7.05866817466225e-09,0.000187485285387204,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rabgef1","RABGEF1",1.56405859155826,8.23541364986393e-12,2.18740821954036e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ibtk","IBTK",1.56395486487971,2.70302423595985e-07,0.00717950267313296,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Adam12","ADAM12",1.56079934228963,1.17089570531267e-11,3.11001608288099e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Gclc","GCLC",1.56042561138735,6.22704086606369e-10,1.65396432443518e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Glis2","GLIS2",1.55674472314519,1.80164511317501e-07,0.00478534958510415,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Mid1","MID1",1.55594665104194,2.15625215472088e-14,5.72722134815413e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tapt1","TAPT1",1.55121243590419,6.8732418963227e-11,1.82560178008227e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Foxp4","FOXP4",1.55097611379085,7.45087620685165e-08,0.00197902722930187,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Farp1","FARP1",1.55097529191538,8.5223798808416e-38,2.26362932015034e-33,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Chd7","CHD7",1.55034369237225,4.64511534126253e-07,0.0123378908579274,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rab31","RAB31",1.54885180234131,1.79377807205941e-22,4.76445393719701e-18,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Wipf2","WIPF2",1.54884746858704,3.17580193646009e-08,0.000843524752343164,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Atad5","ATAD5",1.54830015458117,1.92764308314187e-08,0.000512001279313313,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Fgfr1","FGFR1",1.54769799372886,1.90878313509803e-19,5.06991888513388e-15,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"2610307P16Rik","2610307P16RIK",1.54621692732305,7.9148425202004e-23,2.10226132179043e-18,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"B830012L14Rik","B830012L14RIK",1.54581245515769,3.32939260400103e-09,8.84319969548714e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Clcn6","CLCN6",1.54424779854664,1.7155387802898e-06,0.0455664255432773,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Traf7","TRAF7",1.54316336272606,9.79212678088806e-08,0.00260088679427168,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Sgk1","SGK1",1.53353907719766,1.99454248202755e-15,5.29770428651338e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Blm","BLM",1.53352659902844,2.28987217541723e-08,0.00060821294851257,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Myef2","MYEF2",1.53285354780319,9.23091872229725e-18,2.45182432182937e-13,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rnf144a","RNF144A",1.53192784898643,4.34926081732135e-08,0.00115520716568872,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Plec","PLEC",1.53009418817229,1.41260090355386e-10,3.75200925992942e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Slc7a2","SLC7A2",1.52997830807961,1.86044042596806e-08,0.000494151581541377,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rapgef3","RAPGEF3",1.52675995585185,2.26757658885119e-11,6.02291017764765e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Skap2","SKAP2",1.52569634675842,1.11050058267527e-07,0.00294960059764379,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cdk14","CDK14",1.52395003592465,1.71595700368832e-23,4.55775339749654e-19,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Chst2","CHST2",1.52108630830303,5.76687732271114e-08,0.00153174028568531,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Furin","FURIN",1.51843702044146,3.45323167706366e-09,9.1721286574488e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Plat","PLAT",1.51819996992585,2.90030247611052e-16,7.70349340679716e-12,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Otulinl","OTULINL",1.51701343566862,6.54955918524586e-07,0.0173962841519315,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Frmd8","FRMD8",1.51493518275328,1.43664491355173e-07,0.00381587255488474,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Vim","VIM",1.51411544769364,5.11832006858753e-27,1.35947699341753e-22,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Kcnt2","KCNT2",1.51292687927152,4.20714628199867e-12,1.11746012396167e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Map4k4","MAP4K4",1.51252811952847,9.71311724544999e-28,2.57990107156397e-23,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Bmp2k","BMP2K",1.50491177378084,8.11680397266071e-14,2.15590430317841e-09,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Wdr11","WDR11",1.50426987019619,9.50500149253636e-07,0.0252462344643258,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Usp6nl","USP6NL",1.49911405958212,3.06493702881464e-12,8.14077924223457e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Arhgef40","ARHGEF40",1.49662384452418,3.23362814726631e-19,8.58883972195405e-15,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nom1","NOM1",1.49606488917056,1.8047807025152e-10,4.79367802395063e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Lrrc59","LRRC59",1.49034698102421,1.83005958566815e-06,0.0486082126549318,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ctsl","CTSL",1.48941864031036,1.35225039772972e-13,3.59171228140992e-09,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Smc4","SMC4",1.48762239275204,3.60101237521153e-09,9.56464896979934e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Trip4","TRIP4",1.48540776380007,1.36850684328911e-10,3.6348910264602e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Midn","MIDN",1.48527264345471,2.2609965666971e-10,6.00543298080418e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rnf38","RNF38",1.48403216344891,1.62225744059051e-15,4.30887798795245e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ezh2","EZH2",1.48230120259948,6.04503952408081e-09,0.00016056229479911,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Kremen1","KREMEN1",1.4798884833442,9.51985387513128e-10,2.52856838777362e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Kmt2d","KMT2D",1.47860466992249,1.70533492407943e-08,0.000452954009184737,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cerk","CERK",1.47391115421415,1.51445714304194e-15,4.02254961763371e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Pik3cd","PIK3CD",1.47339445788008,2.06791411738036e-15,5.49258668717397e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Commd10","COMMD10",1.47124169445504,2.20091138463841e-07,0.00584584072873807,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Npc2","NPC2",1.46983647635385,3.57663261251555e-07,0.00949989388210255,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cdc14a","CDC14A",1.46879146081385,9.94826364630527e-07,0.0264235830709514,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Jag1","JAG1",1.46486092976063,4.85886178040809e-11,1.29056227749419e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Serinc5","SERINC5",1.46324100682074,2.075217305569e-09,5.51198468532182e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nsmce2","NSMCE2",1.46312950837338,1.0451480800995e-20,2.77601781555228e-16,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tmem87b","TMEM87B",1.46032631621776,5.79438193023311e-15,1.53904578448922e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Arhgap24","ARHGAP24",1.4584746488426,2.01092486753664e-11,5.34121754066407e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Hipk2","HIPK2",1.45751475379143,1.67347886306192e-19,4.44492720817877e-15,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nup93","NUP93",1.45589132682328,3.92250207954037e-11,1.04185577734672e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Zfp277","ZFP277",1.45441690218563,3.6445164436236e-09,9.68020012590863e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tmem189","TMEM189",1.45375833283027,1.27433012134171e-07,0.00338474823529572,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tle3","TLE3",1.44970142448586,1.11591717137987e-06,0.0296398759890206,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Lrmda","LRMDA",1.44960694926246,1.02757694944854e-07,0.00272934713543026,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Larp4b","LARP4B",1.44914536932103,7.81506382662222e-21,2.07575910298913e-16,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Samd4","SAMD4",1.44908316341362,5.41301769486178e-13,1.43775162993224e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cnep1r1","CNEP1R1",1.44866518256408,3.29751325419364e-12,8.75852495446373e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Fnbp4","FNBP4",1.44820212144778,2.10660486326335e-15,5.59535317731379e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Coq10b","COQ10B",1.4460120082613,6.05172949095659e-13,1.60739987009298e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rai14","RAI14",1.44452127315908,4.89439524182728e-12,1.30000032018174e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Slc20a1","SLC20A1",1.43804930950804,1.10654460190051e-08,0.000293909311710795,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Jade2","JADE2",1.43784731277198,6.24263422002005e-08,0.00165810607517953,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Lama5","LAMA5",1.43763523457836,1.71582132058981e-06,0.0455739300961859,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ttll5","TTLL5",1.43219468849847,4.22195225393887e-11,1.1213927381687e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Lrp5","LRP5",1.42897735882282,3.18365566827549e-09,8.45610782050654e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Dnmt1","DNMT1",1.42572129273955,1.42228907412052e-06,0.0377774200977151,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Zmiz1","ZMIZ1",1.42314075292843,1.54839311283467e-14,4.11268694700018e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Il6st","IL6ST",1.42042906079742,1.12478908140521e-12,2.98755227912039e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ptpn1","PTPN1",1.41780705142132,2.50778720287377e-16,6.66093358955301e-12,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Mfsd11","MFSD11",1.41756682124206,6.86440021824245e-08,0.00182325334196738,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rev1","REV1",1.41701984238865,1.66239743817782e-14,4.41549383554411e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Col27a1","COL27A1",1.40998078682117,1.40697506222092e-07,0.00373706646276497,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Zfp609","ZFP609",1.40870836212939,1.04864528225019e-21,2.78530673418473e-17,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ppfibp1","PPFIBP1",1.40816015273983,2.76671441710041e-24,7.34867016326041e-20,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Kcnq4","KCNQ4",1.40781115666212,9.26977196379824e-07,0.0246214413130445,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Klhl6","KLHL6",1.40723495778873,1.64830349973679e-06,0.043780589256509,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Pbx2","PBX2",1.40512063398258,1.99181384346597e-08,0.000529045674962996,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Wdr26","WDR26",1.40369308734606,5.21756102020541e-21,1.38583638257676e-16,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Elmsan1","ELMSAN1",1.39948866780859,2.76513112100234e-10,7.34446477049433e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ddit4","DDIT4",1.39917442319431,3.15160652682705e-07,0.00837098209590533,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Hdac1","HDAC1",1.39857198967882,4.85034122697827e-08,0.0012882991332977,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Kdsr","KDSR",1.39608466918031,2.65205055073446e-09,7.04411146780581e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Plekhh3","PLEKHH3",1.39557992719946,5.26766730430516e-07,0.0139914511269649,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ints2","INTS2",1.39314644139085,3.73041211668828e-09,9.90834762313573e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tmem41b","TMEM41B",1.39052842997908,5.94639176710864e-07,0.0157942111726173,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Wdr37","WDR37",1.39022102980246,9.30934260822934e-13,2.47265449017179e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Peak1","PEAK1",1.39006100616137,2.85988901304536e-22,7.59615120754977e-18,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Lyn","LYN",1.38927144685694,3.67188370247355e-18,9.75289030213999e-14,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Samd5","SAMD5",1.38818640267617,1.51920168544941e-08,0.000403515159672219,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"4833422C13Rik","4833422C13RIK",1.38727653488725,8.80584773914959e-17,2.33892121799552e-12,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Anxa11","ANXA11",1.38579011639047,1.62057069974589e-06,0.0430439783559505,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Iws1","IWS1",1.38478213763547,4.88241516323943e-13,1.29681829150802e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nploc4","NPLOC4",1.38323623437276,1.19874054077001e-14,3.18397475033922e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ptbp2","PTBP2",1.38137598324049,3.94839946531008e-26,1.04873438198101e-21,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ptpn12","PTPN12",1.38002821551272,1.01304898615104e-21,2.69075941211577e-17,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tmem68","TMEM68",1.37854794739378,1.08907837411747e-08,0.000289270106949342,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tbc1d19","TBC1D19",1.3767167802194,1.04501764591644e-11,2.77567136931864e-07,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ccar1","CCAR1",1.37602806704851,5.56904472423035e-20,1.47919396920282e-15,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ecm1","ECM1",1.37559079217984,9.04631971175397e-08,0.00240279297863897,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Prrc1","PRRC1",1.37522022429244,2.56938290686438e-09,6.82453793892247e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nol10","NOL10",1.37352341121006,4.26441988863392e-11,1.13267256662005e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Gabpb1","GABPB1",1.37201011794141,9.09260758987902e-07,0.0241508750194777,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Setd1a","SETD1A",1.36554957351185,7.47645758610133e-09,0.000198582189944437,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Mcph1","MCPH1",1.36225561679517,1.76225117268956e-08,0.000468071533978074,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Sh3kbp1","SH3KBP1",1.35928066755003,1.30592385907404e-14,3.46866436208656e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Zswim7","ZSWIM7",1.35809741170914,2.09665223148081e-07,0.00556891799203618,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Pbx3","PBX3",1.3577275425204,3.19128784558244e-20,8.47637964665152e-16,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Bzw2","BZW2",1.35762751901802,4.38407336877402e-08,0.00116445372748007,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Slf1","SLF1",1.35621411097663,1.33416395489519e-14,3.54367288059711e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tns3","TNS3",1.35596125557977,3.05068116655521e-13,8.1029142464873e-09,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Fbrs","FBRS",1.35573840532271,7.71716584152013e-07,0.0204975641916616,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Ier3","IER3",1.35555576034894,6.35237088465249e-11,1.68725323067255e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Apod","APOD",1.35347743247968,6.19471259936653e-28,1.64537761351774e-23,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cast","CAST",1.34488952543568,1.71531929360251e-14,4.55605957573764e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Rnf141","RNF141",1.34065624990032,6.17023219667003e-09,0.000163887537375753,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Hmgb2","HMGB2",1.33985791135376,5.46419091255105e-08,0.00145134374828268,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tead1","TEAD1",1.33894555889881,4.98290100880055e-18,1.32350833694751e-13,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Osbp","OSBP",1.33773962013775,1.79654997487318e-09,4.77181638826064e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"2610020C07Rik","2610020C07RIK",1.33746052074245,5.29549233214084e-15,1.40653571833993e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Usp49","USP49",1.33630871066414,1.64310018037064e-07,0.00436423838908246,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Litaf","LITAF",1.33440450317213,2.73434194639871e-14,7.26268564382962e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Cd46","CD46",1.33350714191723,5.65657573328833e-14,1.50244308051871e-09,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Yju2","YJU2",1.33137286957059,1.33455956211074e-06,0.0354472365292234,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Mapk14","MAPK14",1.33079501285905,2.91797077346423e-09,7.75042217139833e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Gramd4","GRAMD4",1.330604766445,2.33700026094573e-15,6.20730639309795e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Vav2","VAV2",1.32984177132658,2.57810060581081e-10,6.8476930190941e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Siah1a","SIAH1A",1.3291206443125,4.30041312082172e-11,1.14223272902146e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Gm41609","GM41609",1.32873115949428,3.59250035133333e-08,0.000954204018317647,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Chst11","CHST11",1.327131518687,1.10471147320014e-10,2.93422414396689e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Neat1","NEAT1",1.32659677178548,6.00401632185282e-18,1.59472677524733e-13,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Dysf","DYSF",1.32576721032791,2.2848372422677e-10,6.06875619918724e-06,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Spidr","SPIDR",1.3236036175378,6.77583851678682e-17,1.79973046844375e-12,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nup155","NUP155",1.32255550781216,1.59954472514924e-09,4.2485507444689e-05,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"AW554918","AW554918",1.32223183942772,2.23439842753356e-22,5.93478566337189e-18,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Sav1","SAV1",1.32220484519494,6.16404272836515e-16,1.63723138908107e-11,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Per1","PER1",1.31655133102012,3.41351995721628e-12,9.06665035836217e-08,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Tshz3","TSHZ3",1.3146835436596,1.78390852875323e-14,4.73823944322144e-10,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Nf2","NF2",1.31424985524044,5.97336517498358e-08,0.00158658552412739,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
"Dpy19l4","DPY19L4",1.31413620837794,7.22351633164329e-14,1.91863817284778e-09,"GSE244576","Pericyte","padj<0.05 & log2FC>=1"
