"gene","gene_upper","log2FC","pvalue","padj","dataset","cell_type","threshold_used"
"Sema6d","SEMA6D",1.6606185796553,6.68141563453411e-12,2.74223030308367e-10,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Tmem26","TMEM26",1.66008736152194,0.0138118846921326,0.0480461624558618,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Plat","PLAT",1.65777872201877,2.98166097011881e-08,5.95201577709813e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ptges","PTGES",1.65345197321359,6.64070086467121e-13,3.23081289258723e-11,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Rundc3b","RUNDC3B",1.65176926849206,7.0382657113168e-05,0.000603180416229624,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Fblim1","FBLIM1",1.6465176659692,2.62581164483332e-05,0.000253789384422507,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Carhsp1","CARHSP1",1.64236709060196,4.15886897418612e-12,1.78284966352192e-10,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Sptbn5","SPTBN5",1.64096504422361,0.0135621654664962,0.0474826573437869,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ppa1","PPA1",1.63976514707768,4.22563008239115e-28,1.43505711817676e-25,"GSE223744","EC","padj<0.05 & log2FC>=1"
"5830432E09Rik","5830432E09RIK",1.63756459707592,0.0143189206074449,0.0495610921105007,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Elovl6","ELOVL6",1.63388045892318,1.77363511993052e-06,2.31494802390329e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Stx1b","STX1B",1.63276878205661,0.00588345818158024,0.0240753240764964,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Apex1","APEX1",1.63101903249544,2.60472306686083e-14,1.56645151104269e-12,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Slc1a5","SLC1A5",1.63081500138065,7.28795865372125e-11,2.57607028331535e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Mamstr","MAMSTR",1.62892241120945,6.03927675167064e-11,2.19287784777642e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Slc20a1","SLC20A1",1.62799473992678,2.70894127869929e-11,1.02892243304982e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ccnd1","CCND1",1.62723196882326,6.36909396977646e-13,3.12500587978834e-11,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Fam111a","FAM111A",1.62656175187696,5.35135170535864e-10,1.53199027333573e-08,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Itga5","ITGA5",1.62463508046282,8.72036862219996e-11,3.01470627817372e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Cfap45","CFAP45",1.62286062561352,1.23174366413744e-05,0.000129061102618636,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pcdh7","PCDH7",1.6194916268324,0.000638115031658516,0.00391226631799132,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Nup210l","NUP210L",1.61874224118078,0.00102465962545837,0.00576204698472047,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ralb","RALB",1.61862334493509,7.21998669002407e-13,3.50280586754109e-11,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Zfp691","ZFP691",1.61700877749635,9.43066639139508e-06,0.000101477616847855,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gtse1","GTSE1",1.61631604279841,0.00727406132844583,0.028778769562831,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Vcan","VCAN",1.61548315061327,4.85259831211709e-05,0.000436142101297354,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Gm9889","GM9889",1.61371154720731,7.58204478365103e-09,1.71886146142455e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Lrrc8a","LRRC8A",1.61106833620751,4.84552481825943e-20,6.35791589789798e-18,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Vwf","VWF",1.60978485709138,9.3866259534772e-10,2.55221917604749e-08,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Csrnp1","CSRNP1",1.60732636780704,5.33260049339502e-09,1.25149919438485e-07,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Slc35g2","SLC35G2",1.6071823951694,8.66863981316742e-07,1.23776456359489e-05,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Tubb2b","TUBB2B",1.60397056216556,8.58963997778062e-11,2.97545128830321e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"E130218I03Rik","E130218I03RIK",1.6021208924954,0.0141274226596314,0.0489765733516446,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Pcdhga10","PCDHGA10",1.60015210930209,0.000554356639387846,0.00348257417272306,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Bid","BID",1.59918994601813,0.000133095515676814,0.00103838483401911,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Tsc22d3","TSC22D3",1.59680209449827,1.11941509699967e-13,6.09694008806108e-12,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Galnt15","GALNT15",1.59671207834147,3.79417170140492e-18,3.98273053747474e-16,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Sdc1","SDC1",1.58975274501901,1.15012835589772e-07,2.00002240202294e-06,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ampd3","AMPD3",1.58674724306293,2.96558191605746e-10,8.97969908848169e-09,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Ifitm5","IFITM5",1.58367664826711,0.00273493478333366,0.013003494229703,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Actr3","ACTR3",1.58350656617477,9.81326531940439e-13,4.63121949133744e-11,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Vars","VARS",1.58264123663313,1.50297970974082e-13,8.05932153953902e-12,"GSE223744","EC","padj<0.05 & log2FC>=1"
"Rara","RARA",1.5825584219899,2.62113043978052e-12,1.1670431675321e-10,"GSE223744","EC","padj<0.05 & log2FC>=1"
