"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"SREK1",1,"GSE244576",1.032,1.032,0,"Tier3_1dataset"
"CUL4A",1,"GSE244576",1.03,1.03,0.000332,"Tier3_1dataset"
"IVNS1ABP",1,"GSE244576",1.029,1.029,0.000341,"Tier3_1dataset"
"PRPF40A",1,"GSE244576",1.029,1.029,0,"Tier3_1dataset"
"ST3GAL3",1,"GSE244576",1.027,1.027,0.000386,"Tier3_1dataset"
"FECH",1,"GSE244576",1.026,1.026,0.002488,"Tier3_1dataset"
"DIAPH1",1,"GSE244576",1.025,1.025,7e-06,"Tier3_1dataset"
"PHF20",1,"GSE244576",1.024,1.024,0,"Tier3_1dataset"
"SEC31A",1,"GSE244576",1.023,1.023,0,"Tier3_1dataset"
"ARNTL2",1,"GSE244576",1.021,1.021,0.001286,"Tier3_1dataset"
"GTF2F2",1,"GSE244576",1.02,1.02,0.000139,"Tier3_1dataset"
"MINDY3",1,"GSE244576",1.02,1.02,5e-06,"Tier3_1dataset"
"RFX7",1,"GSE244576",1.02,1.02,0,"Tier3_1dataset"
"ADGRL3",1,"GSE244576",1.019,1.019,0,"Tier3_1dataset"
"JAK2",1,"GSE244576",1.018,1.018,3e-06,"Tier3_1dataset"
"LCORL",1,"GSE244576",1.018,1.018,0,"Tier3_1dataset"
"MEX3C",1,"GSE244576",1.018,1.018,0.003552,"Tier3_1dataset"
"RAPGEF1",1,"GSE244576",1.018,1.018,0.000224,"Tier3_1dataset"
"RBL2",1,"GSE244576",1.017,1.017,0.007135,"Tier3_1dataset"
"GM49961",1,"GSE244576",1.015,1.015,0.014302,"Tier3_1dataset"
"ELK4",1,"GSE244576",1.013,1.013,1.6e-05,"Tier3_1dataset"
"SLC44A1",1,"GSE244576",1.012,1.012,0.000116,"Tier3_1dataset"
"BCLAF1",1,"GSE244576",1.011,1.011,0,"Tier3_1dataset"
"AP4E1",1,"GSE244576",1.01,1.01,0.000476,"Tier3_1dataset"
"RELL1",1,"GSE244576",1.009,1.009,7.6e-05,"Tier3_1dataset"
"UNK",1,"GSE244576",1.009,1.009,0.015059,"Tier3_1dataset"
"GTDC1",1,"GSE244576",1.008,1.008,0,"Tier3_1dataset"
"NSD2",1,"GSE244576",1.008,1.008,0,"Tier3_1dataset"
"PAIP1",1,"GSE244576",1.008,1.008,0.002747,"Tier3_1dataset"
"KAZN",1,"GSE244576",1.007,1.007,0.028063,"Tier3_1dataset"
"LNPEP",1,"GSE244576",1.004,1.004,0,"Tier3_1dataset"
"PPP4R1",1,"GSE244576",1.004,1.004,0,"Tier3_1dataset"
"HEYL",1,"GSE244576",1.002,1.002,0.000874,"Tier3_1dataset"
"ARHGAP23",1,"GSE244576",1.001,1.001,2.6e-05,"Tier3_1dataset"
"RLF",1,"GSE244576",1.001,1.001,0,"Tier3_1dataset"
"MIRG",1,"GSE244576",1,1,0.026555,"Tier3_1dataset"
"RGS16",1,"GSE250597",0.945,0.945,6e-06,"Tier3_1dataset"
"SLC16A12",1,"GSE227651",0.925,0.925,8.7e-05,"Tier3_1dataset"
"YWHAZ",1,"GSE227651",0.913,0.913,0,"Tier3_1dataset"
"SLC12A2",1,"GSE227651",0.902,0.902,0,"Tier3_1dataset"
"CP",1,"GSE227651",0.843,0.843,0,"Tier3_1dataset"
"ZIC1",1,"GSE227651",0.8,0.8,0,"Tier3_1dataset"
"ZFP36L1",1,"GSE227651",0.792,0.792,1e-06,"Tier3_1dataset"
"FOXC1",1,"GSE227651",0.727,0.727,0.007643,"Tier3_1dataset"
"RPS26",1,"GSE227651",0.724,0.724,0.006388,"Tier3_1dataset"
"DRAP1",1,"GSE227651",0.717,0.717,0,"Tier3_1dataset"
"HEXB",1,"GSE250597",0.713,0.713,0,"Tier3_1dataset"
"LRRC58",1,"GSE227651",0.712,0.712,0.023141,"Tier3_1dataset"
"TMSB4X",1,"GSE310324",0.684,0.684,0.001406,"Tier3_1dataset"
"IRF2BP2",1,"GSE227651",0.682,0.682,0.015606,"Tier3_1dataset"
"PLA1A",1,"GSE227651",0.68,0.68,0.014023,"Tier3_1dataset"
"CAMK1D",1,"GSE250597",0.663,0.663,0,"Tier3_1dataset"
"PFN1",1,"GSE227651",0.662,0.662,1.7e-05,"Tier3_1dataset"
"HNRNPA2B1",1,"GSE227651",0.651,0.651,0.005271,"Tier3_1dataset"
"GM20594",1,"GSE250597",0.642,0.642,0,"Tier3_1dataset"
"RAPGEF5",1,"GSE227651",0.639,0.639,0.010921,"Tier3_1dataset"
"PRKAR1A",1,"GSE227651",0.628,0.628,1e-06,"Tier3_1dataset"
"PTEN",1,"GSE227651",0.619,0.619,3e-06,"Tier3_1dataset"
"HNRNPK",1,"GSE227651",0.618,0.618,0.000431,"Tier3_1dataset"
"IFITM1",1,"GSE227651",0.61,0.61,3.1e-05,"Tier3_1dataset"
"XAF1",1,"GSE250597",0.604,0.604,2.2e-05,"Tier3_1dataset"
"SERPING1",1,"GSE250597",0.593,0.593,2.3e-05,"Tier3_1dataset"
"LARS2",1,"GSE250597",0.578,0.578,0,"Tier3_1dataset"
"CAR4",1,"GSE227651",0.576,0.576,0.000687,"Tier3_1dataset"
"SERINC3",1,"GSE227651",0.57,0.57,0,"Tier3_1dataset"
"ATP13A5",1,"GSE227651",0.568,0.568,0,"Tier3_1dataset"
"ACTB",1,"GSE227651",0.565,0.565,0,"Tier3_1dataset"
"TAGLN2",1,"GSE227651",0.563,0.563,0,"Tier3_1dataset"
"ABCC9",1,"GSE227651",0.551,0.551,0,"Tier3_1dataset"
"MEG3",1,"GSE250597",0.548,0.548,0,"Tier3_1dataset"
"ATP5E",1,"GSE227651",0.543,0.543,0.042307,"Tier3_1dataset"
"SLC6A20A",1,"GSE227651",0.543,0.543,2.9e-05,"Tier3_1dataset"
"H2-T23",1,"GSE250597",0.532,0.532,0.006383,"Tier3_1dataset"
"CD9",1,"GSE250597",0.528,0.528,5e-06,"Tier3_1dataset"
"LHFP",1,"GSE227651",0.525,0.525,0.03386,"Tier3_1dataset"
"ARNTL",1,"GSE250597",0.51,0.51,1e-04,"Tier3_1dataset"
"RHOA",1,"GSE227651",0.506,0.506,0.002572,"Tier3_1dataset"
"PTN",1,"GSE227651",0.504,0.504,0,"Tier3_1dataset"
"LGALS3BP",1,"GSE250597",0.501,0.501,3e-06,"Tier3_1dataset"
