baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,timepoint,comparison,cell_type,dataset
2.788228155568658,-0.2027460919266436,1.0399895060342041,-0.1949501324294858,0.8454319870415499,,2010001A14Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
26.386556126166976,0.11789809278107168,0.40091538319534614,0.29407225994026226,0.7687026875286433,0.9024197503706836,2010111I01Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.486540910915904,3.5187044541449715,1.7563307912191488,2.0034406227670125,0.04513001487909723,,2010204K13Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
9.189326470965932,-1.165617035046845,0.7257433803175312,-1.6061008156035237,0.10825176072385934,,2010315B03Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.654987544398645,-0.018424517028313814,1.0106289952888097,-0.018230742551621135,0.9854547776988366,,2010320M18Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
28.408928033231494,1.443716173040034,0.5354820098632451,2.6961058381937795,0.007015537187548207,0.07421083967551338,2200002D01Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.5003451430620207,1.2615002948295126,1.0472827504479263,1.2045460447906402,0.2283785965281182,,2210016F16Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
46.178189655476714,0.10421327369497295,0.3260391109593366,0.3196342714477907,0.7492455913423586,0.892004176939726,2210016L21Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
9.60334646351016,0.538861550169709,0.6237121713584493,0.8639586894641882,0.38761058445087093,,2210408F21Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.7404719486172273,-1.04539459468331,1.4297610868986412,-0.7311673287674393,0.46467695336127923,,2210408I21Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
11.288922893758166,-0.21202711406725389,0.5634910582973484,-0.37627414125774716,0.7067131014218933,,2300009A05Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
9.407531917383732,0.3918847434299782,0.6827433194607588,0.5739854675392426,0.5659776354102193,,2310001H17Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
15.948964701223105,0.1973136704893897,0.5394152757984816,0.3657917736892261,0.7145204587627576,0.8747369730481295,2310009A05Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
8.680278106725137,1.0436338888770254,0.7056765568973091,1.4789125112298385,0.13916369907507845,,2310009B15Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
7.2840168098780165,-0.9417252169759706,0.7054253452551358,-1.3349750236651485,0.18188452113064968,,2310010J17Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
19.61315831016645,0.1655301594726091,0.4552539156619203,0.3635996391858269,0.7161569962519584,0.8749354899750802,2310011J03Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.7623600678633617,-1.506365131525471,1.4548793916685026,-1.0353883216380726,0.300487597415106,,2310015A10Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.266151654075312,-0.28685795708830286,0.9695853367384,-0.295856327668143,0.767339804191346,,2310022A10Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
22.348387438589686,-0.5930631610578677,0.40832272348181553,-1.4524373172297365,0.14638004645260008,0.4136445156513414,2310022B05Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.1879545523234358,-2.763314911696892,1.896288710170519,-1.457222677578673,0.14505492266176082,,2310031A07Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
20.4770807503991,0.07691661950029675,0.44296338058852025,0.1736410341597662,0.8621475812643624,0.9482538391090953,2310033P09Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
18.120942031475447,0.7191529459957221,0.4931083936364486,1.458407431867664,0.1447282733914976,0.4112779882782171,2310039H08Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.7296690603713498,-1.233538598680614,1.325415694804881,-0.9306805431047862,0.35201883725691907,,2310040G24Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0.6414014681169212,-2.2438493000953064,2.681826321604382,-0.8366870300359125,0.4027685114358789,,2310047D07Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.7129229316283205,0.6253472164866128,0.9793010913883099,0.6385648111553587,0.5231060791804953,,2310057M21Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
12.268057614377994,0.0356798412307694,0.539593587692856,0.06612354565465825,0.9472794651501006,,2310061I04Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0.534252335778765,-0.01489375095985661,2.520936867230034,-0.005908022193440185,0.9952861077298425,,2310068J16Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
4.108604312974717,0.825333697901152,1.0058780926870556,0.8205106601898389,0.4119250546845127,,2410002F23Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
18.915688210394887,-0.010473549064957986,0.5737336080961783,-0.018255073290394108,0.9854353678081276,0.9954752618239809,2410004B18Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
27.963448464630996,0.6796499110149655,0.4241999190998375,1.6021924578797637,0.10911305736657896,0.3560172918930333,2410006H16Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
62.73370187050044,0.5858157996091083,0.3243312461800678,1.8062268329332198,0.07088291521190578,0.28407505627940094,2410015M20Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
4.068323775999416,0.16642581894623998,0.9394178301435336,0.1771584630460035,0.8593839212194296,,2410022M11Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.9634968028987725,0.7418139192711839,1.394909847356701,0.5318006182814552,0.5948640945080153,,2410131K14Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.902403205417788,0.06253644932019319,0.9404669836189591,0.0664951034001748,0.9469836560041259,,2500002B13Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2.087668923564716,0.04326708897342977,1.2773717977279975,0.03387196198505944,0.9729792514484317,,2500004C02Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
36.658424770086405,0.07564160787161545,0.41359482200935416,0.18288818874503385,0.8548857506076516,0.9470773384998825,2510002D24Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
15.747429366729948,-0.6773820019505119,0.5652516781894593,-1.1983723854128374,0.2307720779861825,0.5097523676358348,2510009E07Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
5.244660785916681,-0.5351073313086572,0.8054399736853244,-0.6643664938310065,0.5064557723780232,,2510039O18Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
6.463820159232852,0.110064024352992,0.8667691703428364,0.1269819325824175,0.8989546984916549,,2510046G10Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
37.9723908600945,0.5429061746271968,0.3928919975866346,1.3818203932939186,0.16702685571121412,0.4402045540151018,2610001J05Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
7.388884582629261,0.46368138399874703,0.6925843330977269,0.6694944743044301,0.5031801043853413,,2610002M06Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.1421864751664645,-0.16426609903845119,1.9142108320708426,-0.08581400558722357,0.9316142727018846,,2610005L07Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
6.269791204245828,-1.1384850224177896,0.7565472532244412,-1.5048432435191736,0.1323643830313544,,2610008E11Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.3204190739788815,-0.5776389818376493,1.5968746006430639,-0.3617309597165821,0.7175530890501989,,2610020C07Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.7801573335409766,-0.47304161649045273,0.940710779067499,-0.5028555290493918,0.6150658493414156,,2610021A01Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2.9435700191745147,0.09035045149221084,1.0526185344986905,0.08583399259185592,0.9315983840035184,,2610035D17Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2.104741687695179,-2.0833147413731026,1.3693467449093402,-1.5213931380915737,0.12816120982400017,,2610037D02Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
6.627476105539403,0.47961333164511244,0.8668020633583329,0.5533135555618099,0.5800487204080864,,2610044O15Rik8,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.8018981411956156,-0.1854005232445138,0.9584070407813683,-0.19344653717627203,0.8466092722721092,,2610301B20Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.4123285573151754,0.5393511736181038,1.129509047598018,0.4775093876096635,0.6329994376655441,,2610306M01Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
50.3533831012849,-0.3149405959178757,0.38652859592803057,-0.8147924868578569,0.41519110223859235,0.6849488555513944,2610507B11Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
3.056939221549324,-0.0729618340434834,1.0814275434478067,-0.06746807447761735,0.9462090769714999,,2610507I01Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
6.257450057288554,1.9244511808583307,0.9452119822192866,2.0359995610083823,0.04175039935184143,,2610524H06Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0.3751152850491901,-2.0271585038066147,3.0610607164545898,-0.6622405406432215,0.5078170763246097,,2610528A11Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.886492950751558,-0.2391253638174206,1.350346643363683,-0.17708442864845778,0.8594420727651808,,2700016F22Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2.3640669290013223,3.9057252802418994,2.0897329671122162,1.86900687394485,0.06162185803851931,,2700038G22Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
1.3789791760972527,0.48768265837264185,1.5008796574879102,0.324931220127867,0.7452331276105096,,2700046G09Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
8.940612834424936,-1.2950030203117875,0.7454236554587715,-1.7372711622825772,0.08233931919549654,,2700049A03Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2.6605774054369733,1.0990253105352614,1.3558607640419449,0.8105738728355606,0.4176104259996428,,2700062C07Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2.200455387088594,-1.4484590984614147,1.299380787554406,-1.1147302717839875,0.2649660246625146,,2700081O15Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
4.465712210154419,0.23168919951434844,0.878432395672943,0.2637530226066602,0.791970235549998,,2700097O09Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0.9984350708014781,0.5066668768546801,1.8264565377881978,0.2774042887810753,0.7814696888351645,,2700099C18Rik,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
