gene_symbol,scores,logfoldchanges,pvals,pvals_adj,timepoint,comparison,cell_type,dataset
Snrpb2,1.4099414,0.52874166,0.15855698051973643,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ppm1f,1.4090449,0.75961107,0.1588219086757282,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Slc31a1,1.408987,0.19568118,0.15883901231279074,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
H2-Ab1,1.4082351,0.8986822,0.15906148647111695,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fam174a,1.4077,0.50461006,0.15921992891317127,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Bet1,1.4074541,0.6535212,0.15929276681622162,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cldnd1,1.404938,0.6547793,0.16003973426956197,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sin3b,1.4045041,0.44539776,0.16016878899207188,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ddx42,1.4022481,0.42652667,0.1608411420607314,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hdac1,1.4013516,0.17410603,0.1611089506819109,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tnfaip8,1.4003683,0.9583265,0.16140306341723965,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Parp1,1.399703,1.1395153,0.16160225182899213,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Uchl1,1.3994428,1.705543,0.16168024562423722,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm4366,1.3992982,0.8879751,0.16172358778868767,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Set,1.398228,0.15546608,0.1620445924734809,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Slc29a1,1.3981991,1.9456799,0.1620532749452167,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dap3,1.3977075,0.7604094,0.1622009306907678,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Mff,1.3971145,0.27906197,0.16237912115633235,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Anp32e,1.3963481,0.31898618,0.16260968375533003,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Utp14a,1.3949888,0.7727713,0.16301921340883796,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ppdpf,1.3944393,0.37869743,0.1631849885389387,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Eif4a3,1.3940922,0.2645752,0.1632897540924625,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ppp1r7,1.3940344,0.6446707,0.163307219947063,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Bzw2,1.3939476,0.8498805,0.16333342136979967,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Srprb,1.3938898,1.2499437,0.16335089074559483,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ppp2ca,1.3935716,0.63555807,0.1634469974922127,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
H1f0,1.3923714,0.17937356,0.16380996581145768,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpp21,1.3921689,0.6631426,0.16387124920765495,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl10-ps3,1.3912289,1.039072,0.16415600559383825,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Snap29,1.3903323,0.69753015,0.16442796659406833,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rrp15,1.3890454,1.5037111,0.16481895525195756,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Def6,1.3871799,1.1731819,0.16538691122322946,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
0610037L13Rik,1.387151,0.39085132,0.1653957283222085,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm2614,1.3868039,1.2264092,0.16550156110365433,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sf3a3,1.3860664,0.6309836,0.16572662495008472,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Wwtr1,1.384924,0.12538831,0.16607570774398162,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pigp,1.3833911,0.66268724,0.16654496578058953,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ak6,1.3833622,0.8814882,0.16655382927747797,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Prkcsh,1.3832176,0.6270095,0.16659815208151374,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ttc1,1.3830152,0.60467196,0.16666021890325866,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lrpap1,1.3825235,0.4538557,0.16681102497902422,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Polr2k,1.3822632,1.0264643,0.16689090500235615,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sumo1,1.3811496,0.38657656,0.1672329385523007,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Procr,1.3806146,1.0869682,0.16739747956399798,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cops8,1.3805568,0.55734986,0.1674152750638076,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Trnau1ap,1.3799783,0.53408223,0.16759330823375296,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps6-ps4,1.3792843,1.3848453,0.16780713570467432,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dynll2,1.3791975,0.58162326,0.16783387853772325,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Taf1d,1.3779249,0.39102343,0.168226474543978,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2010111I01Rik,1.3774621,0.53298503,0.16836940752920515,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
CT009755.1,1.3769994,0.82610106,0.16851243165190632,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Urm1,1.3754666,0.8837236,0.16898685036210814,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nfu1,1.3747435,0.6845075,0.1692109802678231,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Magt1,1.3741506,0.4308934,0.16939493311141307,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Med8,1.3739771,0.71395487,0.1694488013288571,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rab8a,1.3735867,0.271613,0.16957005178563767,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sh3bp5,1.3730661,0.750194,0.1697318202458009,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Abhd17a,1.3728057,0.55489534,0.16981274785157463,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Esyt1,1.3718513,0.48172745,0.17010972990041495,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ywhah,1.3712729,0.17736551,0.17028990837512703,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm3531,1.3702172,0.6635308,0.17061910268791292,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rab29,1.368988,1.1500348,0.17100301160460551,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Actn4,1.3687856,0.09646957,0.17106630566395908,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Naa50,1.3627698,0.61535096,0.17295505825347413,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Emc4,1.3623649,0.25733733,0.17308274363445597,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lpcat3,1.362148,0.65189207,0.17315117549759718,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dnlz,1.3618733,0.9642711,0.17323788488842928,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fcgrt,1.3600223,0.18383956,0.17382287835755494,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpap3,1.35713,1.1748917,0.17473988320829592,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sdf2l1,1.3559587,1.9237864,0.1751122958690261,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Wars,1.3542379,0.87420386,0.1756604944420821,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Naa60,1.3540065,1.1011986,0.1757342993300307,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm6542,1.3536595,1.26614,0.17584505002321682,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dctn2,1.3532256,0.26690552,0.1759835615770189,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tmem109,1.3524592,0.29337376,0.1762284641202575,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Mtfr1l,1.3500153,0.5948902,0.17701107654121095,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lrp10,1.3495237,0.89079946,0.17716883757476942,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm8292,1.3492777,0.693666,0.1772477573568827,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Fkbp9,1.3489451,0.6567769,0.1773545728544228,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Usp18,1.3476582,1.0948999,0.1777683540950895,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Praf2,1.3474702,1.0829248,0.17782885416215366,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lrrc59,1.3465158,1.4345875,0.1781362448270799,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm11688,1.3459952,3.671656,0.1783040790599839,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gpx7,1.3457927,0.63092494,0.17836937969783906,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
U2af1,1.3448961,0.42398304,0.1786587821606579,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tprgl,1.344202,0.23406021,0.17888307547732885,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Zfp52,1.3425823,0.91033125,0.17940724092947546,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tmx2,1.3425823,1.0918615,0.17940724092947546,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Klhl6,1.3416713,0.7012064,0.1797025853534988,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rbm28,1.339748,0.38368928,0.18032727673092364,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cdc37,1.339748,0.13824311,0.18032727673092364,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rab28,1.339372,0.7384625,0.18044958512823894,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nifk,1.3386201,1.0472803,0.18069438676040228,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm11517,1.3381284,2.173205,0.1808545826593776,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pole4,1.3378681,0.8399476,0.18093943493405729,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Commd6,1.3366823,0.3065168,0.1813263582436483,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ifi35,1.3357568,0.29666495,0.1816287736107678,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Faim,1.3354098,0.3318629,0.18174227580760527,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ykt6,1.3343252,0.8602136,0.1820973093554371,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Abhd11,1.3342384,1.5047675,0.1821257342468977,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm5791,1.3341516,1.0910016,0.1821541624291857,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tpp1,1.3332695,0.5924456,0.18244336912102133,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Znhit1,1.3330092,0.41679028,0.18252877382333899,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm6564,1.3328935,2.3895319,0.18256674098220527,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Spcs3,1.3296832,0.8770486,0.1836226666198687,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm6520,1.3294808,3.0144165,0.18368940784984056,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ppp1r14b,1.3279045,1.8539405,0.1842096506355294,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nrd1,1.3267621,0.19034366,0.18458738859866308,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Twf1,1.3265597,0.45393682,0.1846543892600282,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nr2f2,1.3264585,1.8382822,0.18468789633927796,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hhex,1.3261547,0.47189736,0.18478844457442345,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm6394,1.3256197,1.7611579,0.18496569953771025,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Uba1,1.3243182,0.6323513,0.1853973853636287,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Taf10,1.323465,0.8009493,0.18568078347794847,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cggbp1,1.3234072,0.2544963,0.1857000084973136,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Psmb10,1.3233782,0.2602295,0.18570962155889859,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Peli1,1.323089,0.48956013,0.1858057724126071,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lsm5,1.3225974,0.7193838,0.18596931332390965,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hmg20b,1.32199,0.12079387,0.18617148132710493,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm7600,1.3216718,2.7225254,0.18627744365797194,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Prmt5,1.3205729,1.277811,0.18664383828293696,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hacd2,1.3195461,0.6899023,0.18698660878153617,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lypla1,1.318664,0.7742993,0.18728147287191965,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Il17ra,1.3186351,1.7684586,0.1872911463566187,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm7860,1.3185772,3.9785736,0.18731049443280867,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pum3,1.3172324,1.0398871,0.18776075333069964,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cdkn2d,1.3168274,0.5419472,0.18789647148590505,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ankrd33b,1.3163936,1.0053622,0.18804196411855,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nol11,1.3157718,0.8952871,0.18825064850340945,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rtl8b,1.3150487,0.17578202,0.18849351955152427,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Spop,1.3148752,0.09693297,0.18855184297859695,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
2310039H08Rik,1.3140509,0.96135914,0.18882906103400032,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Alad,1.3139931,0.7930327,0.18884852621210246,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl31-ps8,1.3117228,1.4516007,0.1896137036203085,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Eci1,1.3111732,0.56140655,0.1897992487204433,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm14303,1.309597,1.1800396,0.19033221231190933,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm7117,1.3081653,2.9121742,0.1908172345172533,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cfap20,1.3080207,0.7600284,0.19086627720527538,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gars,1.3063143,0.6385921,0.19144568175144783,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Manbal,1.3050418,0.56863534,0.19187862167314096,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Skil,1.3044922,0.38211444,0.19206579543340008,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Sdhaf1,1.3039428,1.2056091,0.1922531034151881,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Acot9,1.3035378,0.44861785,0.1923912057328746,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gt(ROSA)26Sor,1.3017157,0.6507801,0.19301356866581787,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm13436,1.301629,0.3884145,0.19304324184803423,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Txndc9,1.3014843,0.30000973,0.19309270459931382,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Chchd6,1.3013109,2.0078838,0.19315207219025055,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Thbd,1.3002118,0.18617584,0.19352837834268877,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dlst,1.299778,1.5769358,0.19367706835844278,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Chmp2b,1.2976378,0.27472013,0.19441183357955438,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ddt,1.2968279,0.8919274,0.19469038560625052,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pgap2,1.2964519,0.7880528,0.19481981281604088,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rtcb,1.2959893,0.4831565,0.1949791944729231,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Dpagt1,1.2950059,1.0081731,0.19531819798730055,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm13827,1.2948179,2.9647145,0.19538305666152544,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lipa,1.294254,0.12362635,0.1955777274276299,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ugp2,1.2941093,1.009344,0.19562766590391145,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Polr2d,1.293661,0.8467056,0.19578253457974992,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Scarb1,1.2933574,0.24518682,0.19588749666008365,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Comt,1.2931116,0.3574296,0.1959724961635333,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cr1l,1.2929236,0.16215706,0.19603751401854175,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm13456,1.2927934,1.4344931,0.19608253563823475,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rtca,1.2919402,1.0279226,0.1963778650075656,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cdc16,1.291275,0.5590585,0.1966083477662376,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cox16,1.2904363,0.6978408,0.19689923877219295,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Akap13,1.2897421,0.15821846,0.1971402143755676,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm6563,1.2892649,0.83983606,0.19730601029540784,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Trappc3,1.2888021,0.6655702,0.19746687954254516,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps15a-ps7,1.2885563,2.1112146,0.19755238036328726,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ccl2,1.28792,1.932905,0.19777380240255327,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ube2e1,1.2870524,1.1098518,0.19807603409908092,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Kdr,1.2869512,0.073019885,0.1981113164579772,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps15a-ps8,1.2863293,1.310963,0.19832815180236973,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm8731,1.2861269,25.757584,0.19839878679550338,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Asna1,1.2861269,1.1028008,0.19839878679550338,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Galnt1,1.2853171,0.4665519,0.19868151073059848,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ptpn12,1.2845651,0.41662315,0.19894430373213068,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Micu2,1.2839288,0.8190962,0.19916686540299855,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rpl9-ps7,1.2817308,2.1134155,0.1999371147087018,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Snx17,1.2817018,0.588705,0.19994726404756635,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm9892,1.2815862,1.4065695,0.19998786516542932,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Hypk,1.2815862,0.3913025,0.19998786516542932,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ahsa2,1.2810656,0.7773943,0.20017064469971357,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Vma21,1.280733,0.8544166,0.2002874843504978,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Acsl5,1.279417,0.62009865,0.2007502511682746,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Kars,1.2780865,0.79801756,0.20121889602854248,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Lsm8,1.2780287,0.5588885,0.20123928998008822,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm15198,1.2779131,2.5695486,0.20128008240631878,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Timeless,1.2777106,0.552089,0.20135148366486,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm15500,1.2775515,0.674201,0.20140759761244686,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ndfip1,1.2771322,0.5510746,0.20155558905269155,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Smox,1.2767128,0.46502483,0.20170365977650528,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Imp4,1.2762066,1.0010632,0.20188247143158933,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Emc3,1.2758886,0.34783107,0.201994926463395,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm6222,1.274428,1.35682,0.20251178333672004,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Tmem9b,1.2734013,0.33636528,0.2028756947226067,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
St3gal6,1.2732711,0.13646248,0.20292185833045184,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Zeb1,1.2728083,0.50587714,0.2030860575665666,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
AW112010,1.2720997,0.26623785,0.20333767513636702,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cwc15,1.2718105,0.08256028,0.20344044138980455,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pdcd5-ps,1.270885,1.7740724,0.20376954749411547,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Med29,1.2706537,0.9138985,0.20385188453273995,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Vars,1.2703356,1.4043871,0.20396513749251355,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Psmg1,1.2694678,1.0178005,0.20427424190456034,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Myo1b,1.26941,0.25077727,0.20429486097593907,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Aimp2,1.2689472,1.6473293,0.20445986805671368,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rab14,1.2684122,0.10960279,0.20465077831585188,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Trim30a,1.2679639,0.39237854,0.20481082993984367,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ptpa,1.2675301,0.64221215,0.20496580525357366,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nipsnap3b,1.2671686,1.1120467,0.2050950164636579,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ifi44,1.2669806,1.1064323,0.2051622296907254,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gar1,1.2666625,0.53720134,0.20527601162724862,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm13094,1.2659973,2.7777267,0.2055140675154371,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm6266,1.2657369,2.8365057,0.20560727441135418,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Gm5321,1.2651585,1.8721255,0.20581451081486624,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Apln,1.2650428,25.93734,0.20585597629994423,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp6ap2,1.2649994,0.5948968,0.20587152742146964,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Selenos,1.264045,0.50080353,0.20621386805075592,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Farsb,1.2629604,0.8144352,0.20660339313612586,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nomo1,1.2579426,1.1606504,0.20841254990050517,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Ube2i,1.25761,0.6844817,0.20853286972896634,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Jak1,1.257581,0.29235938,0.2085433347015695,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Trappc5,1.2567856,0.75314224,0.20883127062699536,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Nkiras2,1.2549491,1.3229266,0.20949724118336543,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rps6-ps3,1.2533584,0.9764366,0.21007530792450202,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Pafah1b2,1.2528089,0.4973937,0.21027527177064653,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Atp5l,1.2509,0.39633057,0.21097095326479276,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Bckdk,1.2508277,1.4041622,0.21099733751898886,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Exosc9,1.2506108,0.90283036,0.21107650459979976,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rce1,1.2503794,1.0581012,0.2111609731606462,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
BC029722,1.250148,0.75619316,0.21124546616233542,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Rbpms,1.2500902,0.17735365,0.21126659323193786,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
Cript,1.2497431,0.19664216,0.21139338773372984,1.0,Day 2,Stroke_vs_Sham,Endothelial,GSE225948
