"gene_upper","n_datasets","datasets","mean_log2FC","max_log2FC","min_padj","confidence_tier"
"ADA",1,"GSE223744",1.319,1.319,0.003721,"Tier5_1dataset"
"GM3436",1,"GSE223744",1.318,1.318,1.6e-05,"Tier5_1dataset"
"DDOST",1,"GSE225948",1.317,1.317,0.004529,"Tier5_1dataset"
"FLOT1",1,"GSE223744",1.314,1.314,0,"Tier5_1dataset"
"GM26624",1,"GSE223744",1.314,1.314,0.015381,"Tier5_1dataset"
"SCART1",1,"GSE56267",1.314,1.314,0.047994,"Tier5_1dataset"
"GRK5",1,"GSE223744",1.313,1.313,0.000232,"Tier5_1dataset"
"NOTCH4",1,"GSE223744",1.312,1.312,0,"Tier5_1dataset"
"PTGFRN",1,"GSE223744",1.312,1.312,0,"Tier5_1dataset"
"ST3GAL1",1,"GSE223744",1.312,1.312,2e-06,"Tier5_1dataset"
"GM14150",1,"GSE223744",1.311,1.311,0.030913,"Tier5_1dataset"
"NOP10",1,"GSE225948",1.311,1.311,0,"Tier5_1dataset"
"TUBB4B",1,"GSE234052",1.31,1.31,0,"Tier5_1dataset"
"SNHG6",1,"GSE223744",1.309,1.309,0,"Tier5_1dataset"
"MCL1",1,"GSE234052",1.308,1.308,0.026648,"Tier5_1dataset"
"YBX1-PS2",1,"GSE225948",1.307,1.307,0.038754,"Tier5_1dataset"
"MTMR11",1,"GSE223744",1.306,1.306,0,"Tier5_1dataset"
"CLIC4",1,"GSE223744",1.303,1.303,0,"Tier5_1dataset"
"SLC43A3",1,"GSE223744",1.303,1.303,0.010524,"Tier5_1dataset"
"PRAF2",1,"GSE223744",1.301,1.301,0,"Tier5_1dataset"
"UFM1",1,"GSE225948",1.301,1.301,0.025891,"Tier5_1dataset"
"ARL5C",1,"GSE223744",1.3,1.3,0.01309,"Tier5_1dataset"
"GRWD1",1,"GSE223744",1.3,1.3,0,"Tier5_1dataset"
"GM38316",1,"GSE223744",1.299,1.299,0,"Tier5_1dataset"
"JUND",1,"GSE234052",1.298,1.298,0.003987,"Tier5_1dataset"
"SH3PXD2A",1,"GSE223744",1.298,1.298,2.6e-05,"Tier5_1dataset"
"CDKL2",1,"GSE223744",1.297,1.297,0.025524,"Tier5_1dataset"
"GM12715",1,"GSE223744",1.296,1.296,0.001067,"Tier5_1dataset"
"FKBP2",1,"GSE225948",1.294,1.294,0.000663,"Tier5_1dataset"
"ADAT3",1,"GSE223744",1.293,1.293,0.005042,"Tier5_1dataset"
"EMG1",1,"GSE225948",1.293,1.293,0.004255,"Tier5_1dataset"
"KRTCAP2",1,"GSE225948",1.293,1.293,0,"Tier5_1dataset"
"RIN1",1,"GSE223744",1.292,1.292,0,"Tier5_1dataset"
"GM37334",1,"GSE223744",1.289,1.289,0.017346,"Tier5_1dataset"
"PPP1R18",1,"GSE223744",1.289,1.289,2e-06,"Tier5_1dataset"
"4731419I09RIK",1,"GSE223744",1.287,1.287,0.001805,"Tier5_1dataset"
"SLC16A6",1,"GSE223744",1.287,1.287,0.00831,"Tier5_1dataset"
"RPS15",1,"GSE244576",1.286,1.286,0,"Tier5_1dataset"
"3110082I17RIK",1,"GSE223744",1.28,1.28,8e-06,"Tier5_1dataset"
