gene_norm,n_dataset_tp,n_datasets,datasets,cell_types,timepoints,max_log2FC,min_padj
Rnps1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6683791,0.0072862723158409
Psmc3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6607008,1.2837975531399358e-06
Cct8,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.645653160689433,4.622009811839364e-05
Cdv3,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6449761923508666,0.0005495877797452
Aldoa,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.6395207701139166,3.121603129733715e-05
Nav1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6364409,0.0061515732688388
Gspt1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.635214,0.0223071735456979
Cct7,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6171971,6.322188668700158e-06
Dnajb11,2,2,GSE223744|GSE234052,Endothelial,12h|1d,0.6087672411664615,0.0001829220564279
Psma4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.608237,6.633347452098514e-05
Arhgdia,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.6073547217339124,3.840350434411418e-06
Ppp1r15a,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.5672037,0.0120252697284329
Eif3d,2,2,GSE223744|GSE234052,Endothelial,1d|24h,0.5667452,0.0051954705105591
Junb,3,1,GSE234052,Endothelial|Pericyte,12h|1h|24h,3.093566,1.7692811120970973e-05
Egr1,2,1,GSE234052,Endothelial|Pericyte,12h|24h,2.670546,1.89446681968142e-05
Nr4a1,2,1,GSE234052,Endothelial|Pericyte,1h|24h,2.5776334,8.795344355000764e-05
Ier2,2,1,GSE234052,Endothelial|Pericyte,1h|24h,2.155689,0.0195291424136964
Bcl6b,2,1,GSE234052,Endothelial,12h|24h,1.8335537,5.148935960488828e-05
Plk2,2,1,GSE234052,Endothelial,12h|1h,1.5318137,2.3171692490828169e-07
Mcl1,2,1,GSE234052,Endothelial|SMC,1h|24h,1.3084146,0.022388244632547
Btg1,2,1,GSE234052,Endothelial|SMC,12h|24h,1.0130385,0.0001045461070292
Ier3,2,1,GSE234052,Endothelial,12h|24h,0.82758206,5.263297006513927e-08
Pitpna,2,1,GSE234052,Endothelial,12h|24h,0.5560712,0.0001686300497563
Aa467197,1,1,GSE234052,Endothelial,24h,27.499205,0.0107022652153329
Slc10a6,1,1,GSE223744,Endothelial,1d,9.787131391747252,3.828781960776497e-08
Csf3,1,1,GSE223744,Endothelial,1d,8.890413836599418,2.704955640061824e-14
Chil3,1,1,GSE223744,Endothelial,1d,8.064570421554036,0.0017683043954598
Tnfrsf9,1,1,GSE223744,Endothelial,1d,7.867764622899153,1.432723530640695e-15
Tnfsf8,1,1,GSE223744,Endothelial,1d,7.480597724490169,4.873811871149055e-14
Colec10,1,1,GSE223744,Endothelial,1d,6.931748507672985,0.0039387931670439
Fam83c,1,1,GSE223744,Endothelial,1d,6.904954354575894,0.0014879927540957
Sele,1,1,GSE223744,Endothelial,1d,6.793581387959158,1.0036501206632602e-19
Ccl7,1,1,GSE223744,Endothelial,1d,6.776693895404389,4.208760876547594e-05
S100a9,1,1,GSE223744,Endothelial,1d,6.714975370826582,3.6929924093931134e-06
Sh2d5,1,1,GSE223744,Endothelial,1d,6.583133080582356,3.5762746899506776e-07
Serpina3n,1,1,GSE223744,Endothelial,1d,6.5685788581632165,7.991019522173991e-29
Il11,1,1,GSE223744,Endothelial,1d,6.504100643557038,3.239439965438582e-15
Nt5e,1,1,GSE223744,Endothelial,1d,6.46466457599904,8.927696146353132e-13
Ct025645.2,1,1,GSE223744,Endothelial,1d,6.39541641912946,0.0235237811372406
Sphk1,1,1,GSE223744,Endothelial,1d,6.382609877025597,9.96930003325607e-10
Ccl2,1,1,GSE223744,Endothelial,1d,6.370237790341506,8.01449800100474e-06
Cyp4a12b,1,1,GSE223744,Endothelial,1d,6.342800987241373,0.0147785591927663
Mctp2,1,1,GSE223744,Endothelial,1d,6.314790402414017,2.991985194939686e-23
S100a8,1,1,GSE223744,Endothelial,1d,6.309759903531041,0.0001114439396859
Il6,1,1,GSE223744,Endothelial,1d,6.2925725317652645,2.069805480858166e-05
Mir147,1,1,GSE223744,Endothelial,1d,6.283233834999414,0.0062694600168788
Mmu-mir-147,1,1,GSE223744,Endothelial,1d,6.283233834999414,0.0062694600168788
Serpinb9g,1,1,GSE223744,Endothelial,1d,6.179040394617478,0.0253870812417533
Serpina3f,1,1,GSE223744,Endothelial,1d,6.119632346326168,6.844064268385067e-08
Ac153966.2,1,1,GSE223744,Endothelial,1d,6.066572958033031,0.0015802177699678
Zfp640,1,1,GSE223744,Endothelial,1d,6.053609585784132,0.0307324849705626
Inhbb,1,1,GSE223744,Endothelial,1d,5.998796729374964,2.6217404665960037e-12
Lpin3,1,1,GSE223744,Endothelial,1d,5.990691781671987,3.66750497307068e-22
Il23a,1,1,GSE223744,Endothelial,1d,5.917734879750541,0.0001093945861473
Igfbp6,1,1,GSE223744,Endothelial,1d,5.889660154838077,7.839166486343139e-15
Tnc,1,1,GSE223744,Endothelial,1d,5.8654006815723845,3.909832324173569e-20
Ac160984.1,1,1,GSE223744,Endothelial,1d,5.828978524631941,0.0001803896668285
Dctd,1,1,GSE223744,Endothelial,1d,5.80709039471254,7.012075638104543e-18
Ccl11,1,1,GSE223744,Endothelial,1d,5.748452234520794,2.74472590024672e-07
