"","Macrophage--Sham","Microglia--Sham","Endothelial--Sham","T-cell--Sham","B-cell--Sham","Microglia--Stroke-isotype","T-cell--Stroke-isotype","Macrophage--Stroke-isotype","Endothelial--Stroke-isotype","B-cell--Stroke-isotype","Microglia--Stroke-antiVCAM1","Endothelial--Stroke-antiVCAM1","Macrophage--Stroke-antiVCAM1","B-cell--Stroke-antiVCAM1","T-cell--Stroke-antiVCAM1","Endothelial--Stroke-antiVLA4","Macrophage--Stroke-antiVLA4","Microglia--Stroke-antiVLA4","T-cell--Stroke-antiVLA4","B-cell--Stroke-antiVLA4"
"Coq2",0.117483095112546,0.184152008087563,0.138291536086698,0.197107529361725,0.200512542014017,0.177188273478217,0.172524369405216,0.113599544015284,0.172237420270249,0.075597593973951,0.163595243400399,0.176285869846064,0.101104850033539,0.163507659016214,0.182558469842354,0.218636214889505,0.138950927712635,0.179431915346179,0.161315650645477,0.139285871899823
"Tgfbr3",0.021563002833565,0.0120458811556468,0.71486709701286,0.104946218511909,0,0.00484416529136113,0.138634806264356,0.048338228029201,0.663455652299861,0.00421576978435624,0.0135055606940714,0.55418871440949,0.0959383995759182,0,0.131835712941157,0.529470712774152,0.0138363644755347,0.0175253263471452,0.113823797069772,0
"Diablo",0.0956028428449701,0.128214094812928,0.128910728680872,0.0951025897866851,0.10351813285386,0.117262940223361,0.162455980002513,0.0840329677221366,0.148804237549724,0.106517337116579,0.121775233061411,0.169721181973826,0.0934921893530519,0.225924632335212,0.106529406456768,0.196016999149299,0.112857851932636,0.115378022427804,0.135979884429147,0.103870976937902
"Ubc",1.72708529542202,2.10723233616107,1.37167248110059,1.06383745524573,1.10528377130404,1.89759705481403,0.811821547750969,1.63008411230658,1.32875664474641,0.9322820765292,1.74300932300266,1.51432731984645,1.5674179077513,0.987816375072544,0.83106400684753,1.56188334572334,1.64820942395959,1.62313888028197,0.922055719116289,0.892618857400549
"Por",0.208253969808282,0.172071481521173,0.304970332463272,0.252354305290475,0.0701989823345853,0.184564386803557,0.206059003586931,0.247750935912112,0.277327107502599,0.128125268257285,0.171461220066053,0.308533379893786,0.252470730357023,0.0871106519026442,0.122104207434194,0.306587346765392,0.32548410149103,0.187042948631879,0.161148352508463,0.152742139741759
"Hspb1",0.0526205616031217,0.0354596025217306,2.15130550967072,0.0540667079975399,0,0.0520451063443145,0.0285058188230608,0.0244514569729011,2.23826439051776,0.0265188955011133,0.103679630810939,2.77059488289018,0.0817764372864766,0.0725976196319489,0.0556825087943654,2.84102850979498,0.121676105357851,0.154479187592257,0.105024611947122,0.144370965445489
"Hmgb1",1.35305147785022,1.33635135112266,1.74570888786375,1.90192043857173,2.26235847230978,1.31397846298893,1.90564831759343,1.34030551569039,1.84844224041024,1.49984218217382,1.41538336049254,2.21624449747895,1.47159675553259,2.097590710836,1.94622820641546,2.26518349219749,1.59912908042282,1.36829920888325,2.10141942815071,1.71303556110181
"Cav1",0,0.00766165950511642,0.946378387830788,0.011214911018728,0,0.0108615976143477,0.00443622676744796,0,0.897700762942268,0,0.0257649635395968,0.886021754429196,0.0429913672689789,0.0214402775295282,0.0276732834266834,0.907740270392967,0.0323750789785655,0.0406461467982962,0.0244667250756343,0.0317017495601495
"Casp2",0.0456711297434982,0.0554810639868918,0.0554710844960875,0.0346719969975874,0.119260292393962,0.0353995709757816,0.0918487542639073,0.0410506088114047,0.0520098936725496,0.0835709036845747,0.0465110553590504,0.0573694942362351,0.0855160658251939,0.238933060130977,0.0698014159109554,0.0571688761270655,0.0333224071268634,0.0440767375726076,0.0684456304093178,0.162737924594
"Gsdme",0.267468702513033,0.282920383396344,0.00860181522473294,0.0609916114082719,0.177414045531386,0.25422968904249,0.0859754018283262,0.1971527909659,0.0174404814707279,0.126984478390042,0.252785643318115,0.0175990592217065,0.202672532446572,0.0208608241510014,0.0455026665210205,0.0145907461619321,0.121891886578044,0.222559751490832,0.0559672599146923,0.100860179777788
"Cycs",0.346485503252362,0.268153885314089,0.376143095169627,0.5306508969297,0.56698341475158,0.217270518648517,0.434829671553024,0.448523277786464,0.451028934319736,0.461500555535557,0.243456554972326,0.545531254724052,0.592592629412654,0.588711942619718,0.408885235807562,0.559755713290705,0.337202091190142,0.251730404218136,0.522215211156924,0.501982687498678
"Gadd45a",0.0346143354611508,0.0108586957428379,0.0328152112963353,0.0745516166313654,0.177125268743,0.0113974659044663,0.0174611519038435,0.0202839416969763,0.0499677475957928,0.0567095056605919,0.00863506302531695,0.0559490035765122,0.0494892708217367,0.129220360418956,0.00423490118925631,0.0712157774846508,0.0186790369811981,0.00755328020275728,0.0130314365553909,0.0285893570597561
"Chmp3",0.443446033140838,0.50596622263105,0.670619307994699,0.336177426168698,0.262256466226335,0.492202496430222,0.377544590774605,0.444356242856873,0.685871541941016,0.292384412810565,0.480744942825085,0.864503182853025,0.510022397071458,0.506848307944156,0.301668602523886,0.909045668352465,0.366371135006488,0.501218582555397,0.352520880148796,0.315613385829373
"Retsat",0.0366892401184795,0.0314997097098101,0.0163840751837895,0,0,0.0313245111928311,0.016691250148004,0.0502248402804288,0.0349800672840847,0.0135223566443325,0.0317100971338786,0.0222927232155223,0.00367078119488244,0,0.00719424240800088,0.0231464383374285,0.00628073192982451,0.0308921384435777,0.00388151499366292,0.0297388805027853
