"Macrophage--Sham","Microglia--Sham","Microglia--Stroke","Macrophage--Stroke","gene","pathway"
0.147282347036607,0.0679641259303444,0.067462340363996,0.154895634388373,"Atg7","Ferroptosis"
0.0823558156947892,0.117044501897561,0.0688491525392529,0.082689479209005,"Bid","Apoptosis"
0.146510935590988,0.408103210711592,0.295906003583444,0.18617110728742,"Lpcat3","Ferroptosis"
0.00293794017695501,0.00270593660830553,0.00502665293190303,0.00338134914710031,"Eno2","Apoptosis"
0.307481992240837,0.14575696003377,0.129487044935568,0.182044544098995,"Ccnd2","Apoptosis"
0.128401915764216,0.0713571835727891,0.0751744294600869,0.0716163304780506,"Cd69","Apoptosis"
0.689417312210926,0.433115393345621,0.360094530167753,0.498386954046121,"Cdkn1b","Apoptosis"
0.164904389967153,0.00465779788341282,0.0250947307572563,0.239897585322612,"Emp1","Apoptosis"
1.31454607171768,0.581646301807899,0.60995853836793,1.32910970995424,"Chmp2a","Necroptosis"
0.106083359848708,0.0322420836417524,0.0324930033286883,0.0674267255889468,"Slc1a5","Ferroptosis"
3.88603446292783,3.10444468520686,3.50563551356053,4.41378459889748,"Ftl1","Ferroptosis"
1.01174113006975,0.498310971925749,0.61933418688207,1.18432318738311,"Bax","Apoptosis"
0.573849864770066,0.0658689689359669,0.139896109518628,0.503633323581978,"Isg20","Apoptosis"
0.311021294390835,0.321811507493461,0.195066624416788,0.207592082415499,"Pak1","Apoptosis"
0.00490300666579235,0.0059038276400478,0.0110534458720446,0.00352977842168422,"Wee1","Apoptosis"
0.108157631001439,0.111258642467168,0.0889021673088721,0.0921703789011882,"Phkg2","Ferroptosis"
0.011560705097784,0.0308332648878753,0.0440765935646807,0.0176861592239665,"Mgmt","Apoptosis"
3.79607747327045,0.437887534937321,1.40295463033477,3.93878071988291,"Ifitm3","Apoptosis"
0.0444881373745642,0.0511483858342011,0.0382782224570043,0.045976154565053,"Fadd","Necroptosis"
0.489573427464918,0.516800732567467,0.31815446672194,0.290538904622504,"Ccnd1","Apoptosis"
0.76384860166647,0.397223374391249,0.387192742365827,0.702738668661923,"Vdac3","Ferroptosis"
0.00111072157596377,0.0027794265718155,0.00419367865587325,0.000211291448708394,"Plat","Apoptosis"
0.752070816475795,0.152903315783694,0.250508424541001,0.718576702252809,"Gsr","Apoptosis"
0.108707327876132,0.163103039974683,0.112491698972988,0.104675445990029,"Acsl1","Ferroptosis"
0.183880067630011,0.167652639256542,0.100495139403331,0.110484368586442,"Casp3","Apoptosis"
0.95112955646107,0.768389038580596,0.568330894932022,0.761972882928347,"Irf2","Necroptosis"
0.999392722545007,0.593064860943214,0.663791248669374,0.868208265004053,"Hmgb2","Apoptosis"
2.51442299192611,1.64042035474887,1.60994010860895,2.2662572809157,"Uba52","Necroptosis"
0.433179325511204,0.246591368107376,0.247077689675515,0.554362627366854,"Hmox1","Apoptosis"
0.290660339046453,0.349777430434524,0.273316093610587,0.225431671479258,"Cyld","Apoptosis"
0.00612774713757524,0.0597021160373405,0.0616154841089023,0.0126624865292455,"Mmp2","Apoptosis"
0.230589144246358,0.0969440559374852,0.0842653107282515,0.206185697552598,"Tradd","Necroptosis"
0.0743438677083575,0.00349459249308802,0.00935313117231498,0.0587788423682642,"Mlkl","Necroptosis"
1.11029899047584,0.629367498611519,0.730542262434396,1.18008579042681,"Map1lc3b","Ferroptosis"
0.378378821071075,0.185485321660861,0.153091063635557,0.279942255979881,"Casp1","Apoptosis"
0.300378572699908,0.163969896439927,0.127836981425637,0.214797890300993,"Casp4","Apoptosis"
0.148321262817583,0.21915488293678,0.167495375508774,0.104158672261853,"Birc2","Necroptosis"
0.247244398421348,0.140633182954294,0.110452023030166,0.172915266866257,"Birc3","Apoptosis"
0.802049392973559,0.54058187633489,0.489991310245652,0.727507865104351,"Cdc37","Necroptosis"
0,0.00603132821053931,0.00839600447847863,0.00147629455639771,"Fez1","Apoptosis"
0.0778852721975281,0.0635096418368498,0.0511765986524478,0.0578306458862542,"Sc5d","Apoptosis"
0.367472608689275,0.179528087451741,0.17647146799739,0.313259413017203,"Il18","Apoptosis"
0.114421337008047,0.176485311570968,0.132505004769474,0.114757660656963,"Ireb2","Ferroptosis"
0.0662806597433512,0.180622309925322,0.108338585812322,0.0747045706274677,"Gclc","Ferroptosis"
0.838438160327529,1.69085437642454,1.11361593117108,0.72568719406006,"Trf","Ferroptosis"
2.81649224751594,1.28543038659619,1.52447718957438,2.82592612641758,"Gpx1","Apoptosis"
0.493129437542714,0.358103218257294,0.300082307777488,0.458577105825173,"Pdcd6ip","Necroptosis"
0.361250027626001,0.398149059562783,0.328646741680324,0.350233137820595,"Ctnnb1","Apoptosis"
1.39943995842387,1.61790529263112,1.18293694894271,1.25194064576365,"Ifngr1","Apoptosis"
0.286135752058836,0.287064678182714,0.239658763408628,0.31213281213614,"Atg5","Ferroptosis"
0.000526950293758888,0.0210343308647059,0.0457682839070899,0.00182488642885961,"Prf1","Apoptosis"
0.0617930710949074,0.00551770161792307,0.00969462450602514,0.0645294594909143,"Aifm2","Ferroptosis"
0.250413456115669,0.174472686655032,0.19385805437707,0.23960339235264,"Cisd1","Ferroptosis"
0.00793538632592845,0.00166637643924659,0.00107457996111472,0.00349246912730274,"Elane","Necroptosis"
1.57957269480165,0.98365146890796,1.10694251478017,1.71644860738444,"Gpx4","Apoptosis"
0.516120198320049,0.181497888867526,0.246697423798275,0.417312029027137,"Gadd45b","Apoptosis"
0.225808137057893,0.715410143474782,0.422170473802178,0.203545955675347,"Gna15","Apoptosis"
0.352032101009757,0.165411254718059,0.179965411489569,0.352599547329355,"Txnrd1","Ferroptosis"
0,0.00381879238684929,0.00941550703193075,0.00119989740285238,"Timp3","Apoptosis"
0.000628759642016597,0.0027446018025322,0.00317044805028087,0.000896887820427042,"Dcn","Apoptosis"
0.123153031342799,0.231826209450378,0.156157679909664,0.143334576543017,"Ddit3","Apoptosis"
0.0111524520535472,0.00260773851410416,0.00197340625474135,0.00715218369560865,"Erbb3","Apoptosis"
0.0413874472365393,0.0541977445382749,0.0412178181481483,0.0315902638130865,"Cdk2","Apoptosis"
0.000754687802986356,0.00154002991615075,0.00231655116677067,0.000476172936006059,"Nefh","Apoptosis"
0.247546185145398,0.243450178999194,0.169087011969723,0.2093286512917,"Ppp3r1","Apoptosis"
0.326740652207025,0.549349470044271,0.348241946083737,0.282399389259789,"Peli1","Necroptosis"
3.826559589784,2.80584354549716,3.14621089701483,3.78488812699415,"Rps27a","Necroptosis"
0.44187685319099,0.387821283997692,0.297030634987228,0.432559204895605,"Sqstm1","Apoptosis"
0.297767981702185,0.281446208230368,0.209687732307191,0.228440011686747,"Irf1","Apoptosis"
0.00051239268096988,0.00259002377362637,0.00503827000277426,0.000630636856621727,"Acsl6","Ferroptosis"
0.0447828880177771,0.0186925859248503,0.0170709970273404,0.0477196465030907,"Gpx3","Apoptosis"
2.80443747029825,2.58759083181236,2.33719151503324,2.84303258623756,"Ubb","Necroptosis"
0.270413047749581,0.265749172232316,0.204223433453014,0.247004413866096,"Trp53","Necroptosis"
0.00205961929352177,0.0185262168956264,0.0130030799628551,0.0027422908857826,"Sat2","Ferroptosis"
0.119537095954699,0.0431394151785802,0.0399240680027507,0.103264898402566,"Flot2","Necroptosis"
0.366600924108461,0.0438801816987503,0.0809808751300767,0.281930211361821,"Rara","Apoptosis"
0.0183274024235128,0.0273790189445471,0.129470018200132,0.023055052884948,"Top2a","Apoptosis"
0.00351324274365297,0.00460487814649762,0.0145374570838155,0.00313590289527214,"Brca1","Apoptosis"
0.0731922598000112,0.0689460585739644,0.0528825171465902,0.0555899836018084,"Fdxr","Apoptosis"
0.385707103446023,1.34128434497999,1.18750271924379,0.549518360256899,"Timp2","Apoptosis"
0.163403957742399,0.143865527030184,0.13498908422646,0.174227085789763,"Chmp6","Necroptosis"
0.657776542401171,2.20749252432915,1.244181231598,0.727553233388906,"Rhob","Apoptosis"
0.168935142525712,0.189730428495967,0.147005315382687,0.164046315299604,"Psen1","Apoptosis"
1.01852536289409,0.890105336620544,0.739935719529557,1.03752852499861,"Hsp90aa1","Necroptosis"
0.295525643552255,0.212424600147333,0.170931771024001,0.299880809672304,"Ripk1","Necroptosis"
0.14759574576593,0.0489400703943995,0.0643707801799133,0.114484838874355,"Nedd9","Apoptosis"
0,0.010841193253392,0.00637205235295857,0.00058659601966966,"F2r","Apoptosis"
0.203186486011781,0.102387705818172,0.100287547545479,0.163249529144616,"Hmgcr","Ferroptosis"
1.06987985515523,0.864695727288083,0.816215319595255,1.08963921216155,"Vdac2","Apoptosis"
0.176727206960169,0.25207279911856,0.162704287280539,0.166107952045732,"Ncoa4","Ferroptosis"
0.409791304133909,0.0451563420357162,0.0628473495718874,0.322204365404574,"Gch1","Apoptosis"
2.71426171856082,0.190430163774239,0.625885088420495,2.9642147498585,"Lgals3","Apoptosis"
0.0288914366417568,0.0146605124584497,0.0167787050790551,0.0270252393731571,"Bcl2l2","Apoptosis"
0.0903391050617185,0.0267725336449972,0.0281748812316012,0.0985998989084425,"Ripk3","Necroptosis"
0,0.0292549856144538,0.0555010884070525,0.00404196681855499,"Gzmb","Necroptosis"
0.0650527026127686,0.0284001486440506,0.025036234696587,0.0445083874030654,"Fdft1","Ferroptosis"
0.00312972200473765,0.0173924323896808,0.0363033519733771,0.0062250218004142,"Clu","Apoptosis"
0.684970289371035,0.708107540560429,0.58524805490598,0.604420336370671,"Bnip3l","Apoptosis"
0.0632770902649573,0.0650322174880131,0.046155508560653,0.0591840392327801,"Chmp7","Necroptosis"
0,0.00251751466719108,0.00323128136004048,0.00109882886541472,"Tnfrsf10b","Necroptosis"
0.0511331829203646,0.119042008306103,0.0959183155981787,0.0226145517370788,"Egr3","Apoptosis"
0.0740417124910169,0.0445568266305836,0.0602834266538785,0.0959001411725343,"Slc39a14","Ferroptosis"
0.554857013319527,0.59346529253666,0.481245383163347,0.55514633327615,"Dnajc3","Apoptosis"
0.120316469341826,0.0744730255553853,0.0678712687410089,0.0851158635453232,"Ank","Apoptosis"
0.398862251062858,0.175657554774322,0.216776636081814,0.384377967908284,"Dap","Apoptosis"
0.0117899241894871,0.0209263096356768,0.016194112519189,0.00663599078629781,"Ptk2","Apoptosis"
0.406074682996657,0.317422730543376,0.226170115896899,0.382754108755021,"Gsdmd","Necroptosis"
0.234285863842972,0.144861385694572,0.158855422275221,0.298979928522125,"H1f0","Apoptosis"
0.00261734569044412,0.0198862330523523,0.0214346273197289,0.0044146012435458,"Bik","Apoptosis"
2.47691931313873,0.694540322101238,1.28107546795606,2.54573136267258,"Tspo","Apoptosis"
0.342112843192563,0.337884298114284,0.285926734817228,0.294696077743136,"Slc38a1","Ferroptosis"
0.0268541441004459,0.0579079315818512,0.0414497380045575,0.0298909073360014,"Slc11a2","Ferroptosis"
0.256160684977865,0.034533025127228,0.162343297795381,0.352159888621814,"Igfbp6","Apoptosis"
1.1096386996979,0.758543818440399,0.611451911696442,0.950563475215969,"Pcbp2","Ferroptosis"
0.427764532833082,0.439986847539646,0.328477048302094,0.387973165608546,"Crebbp","Apoptosis"
0.208194259395474,0.22976965993168,0.159502632288275,0.165100471902099,"Dnm1l","Apoptosis"
1.04393279271264,0.487561872231859,0.567987894242436,1.05529049445179,"Ube2l3","Necroptosis"
0.0278368417209685,0.0429115073314754,0.0395504063708682,0.0280086327273358,"Tfrc","Ferroptosis"
0.285197864095528,0.180432620520705,0.140878841011753,0.244528934089178,"Chmp2b","Necroptosis"
0.119436345344868,0.096463421738837,0.0555184005924076,0.0842776320401773,"Btg3","Apoptosis"
1.01094509741252,0.536074181981994,0.51946329150336,0.997582892319097,"App","Apoptosis"
0.691021656611167,0.530485723403982,0.392820869546069,0.659207195849059,"Bach1","Ferroptosis"
0.512019406528283,0.318259467586449,0.297408231602591,0.39888079315747,"Sod1","Apoptosis"
0.0074287813430879,0.0479470296574662,0.027991654361439,0.00339067217951075,"Prkn","Necroptosis"
0.0393141778091401,0.0166145805714918,0.0464174764819061,0.0757374253309493,"Igf2r","Apoptosis"
0.0949461927501481,0.0436125551591456,0.030282061002083,0.082800218884291,"Tnfrsf12a","Apoptosis"
0.331556070802893,0.288298416536715,0.287903561747074,0.384886638666862,"Stub1","Necroptosis"
