"dataset","cell_type","pathway","n_core_genes","mean_stroke","mean_ctrl","delta","delta_z","first_auth","journal_tier","weight","time_bin","days_post","assay","species"
"GSE227651","Endothelial","Ferroptosis",10,0.631144476990058,0.576588111383534,0.0545563656065243,0.167786511995556,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Endothelial","Necroptosis",8,0.487547041416569,0.481881926332005,0.00566511508456374,-0.775011042210529,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Oligodendrocyte","Apoptosis",9,0.545197665170354,0.55998498016834,-0.0147873149979858,-1.31004691177688,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Oligodendrocyte","Ferroptosis",10,0.441672671426933,0.389657725723206,0.0520149457037271,0.100539920758957,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Oligodendrocyte","Necroptosis",8,0.247544389200878,0.184428210790605,0.0631161784102726,0.169330353375826,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Astrocyte","Apoptosis",9,0.579709043316634,0.548045389959268,0.0316636533573659,-0.0653772093970136,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Astrocyte","Ferroptosis",10,0.479839585677571,0.363041186646741,0.11679839903083,1.8147259157565,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Astrocyte","Necroptosis",8,0.447704319167659,0.338714798659813,0.108989520507846,0.923365063769904,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Neuron","Apoptosis",9,0.483352451970727,0.417562881100635,0.0657895708700923,0.84903850889471,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Neuron","Ferroptosis",10,0.41238984983714,0.359059480452373,0.0533303693847666,0.135346352582539,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Neuron","Necroptosis",8,0.302683526315255,0.281125848828836,0.0215576774864187,-0.513779940656748,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Pericyte","Apoptosis",9,0.428071823566803,0.359160885303821,0.0689109382629824,0.932676623695802,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
"GSE227651","Pericyte","Ferroptosis",10,0.3490070210147,0.346314777580748,0.0026922434339528,-1.20455082578371,"Zeng F",3,0.119569557521123,"Acute",NA,"scRNA","Mouse"
