"dataset","signature","cell_type","timepoint","ctrl_mean","stroke_mean","delta","n_genes"
"GSE279666","A1_markers","Pericyte","D3",0.0239917167499511,0.170185151190866,0.146193434440915,13
"GSE279666","A1_markers","Pericyte","D14",0.0239917167499511,0.124104856626508,0.100113139876556,13
"GSE279666","A2_markers","Astrocyte","D3",0.0368136486234288,0.184022153122943,0.147208504499514,20
"GSE279666","A2_markers","Astrocyte","D14",0.0368136486234288,0.111022865348946,0.0742092167255168,20
"GSE279666","A2_markers","Endothelial","D3",0.112574116209236,0.212826204344079,0.100252088134843,20
"GSE279666","A2_markers","Endothelial","D14",0.112574116209236,0.138571973936925,0.0259978577276891,20
"GSE279666","A2_markers","Fibroblast","D3",0.246491761702034,0.269630088998185,0.0231383272961518,20
"GSE279666","A2_markers","Fibroblast","D14",0.246491761702034,0.217162194615916,-0.0293295670861171,20
"GSE279666","A2_markers","Macrophage","D3",0.0678206023753574,0.305408252217417,0.23758764984206,20
"GSE279666","A2_markers","Macrophage","D14",0.0678206023753574,0.150605864191102,0.0827852618157443,20
"GSE279666","A2_markers","Microglia","D3",0.0656453011874226,0,-0.0656453011874226,20
"GSE279666","A2_markers","Microglia","D14",0.0656453011874226,0.0399115810225314,-0.0257337201648912,20
"GSE279666","A2_markers","Neuron","D3",0.0210249968675235,0.0618094193583408,0.0407844224908174,20
"GSE279666","A2_markers","Neuron","D14",0.0210249968675235,0.0272472266505328,0.00622222978300935,20
"GSE279666","A2_markers","Oligodendrocyte","D3",0.177052092955733,0.116195014805816,-0.0608570781499164,20
"GSE279666","A2_markers","Oligodendrocyte","D14",0.177052092955733,0.126918489811761,-0.0501336031439717,20
"GSE279666","A2_markers","OPC","D3",0.0271831043376348,0.122347198465805,0.0951640941281707,20
"GSE279666","A2_markers","OPC","D14",0.0271831043376348,0.0692865802838481,0.0421034759462134,20
"GSE279666","A2_markers","Pericyte","D3",0.0355614710401527,0.159009217523374,0.123447746483221,20
"GSE279666","A2_markers","Pericyte","D14",0.0355614710401527,0.0879565075535572,0.0523950365134045,20
"GSE279666","Pan_reactive","Astrocyte","D3",0.196688441470047,0.524739736821737,0.32805129535169,9
"GSE279666","Pan_reactive","Astrocyte","D14",0.196688441470047,0.639406612070061,0.442718170600014,9
"GSE279666","Pan_reactive","Endothelial","D3",0.089390282079522,0.294054943867941,0.204664661788419,9
"GSE279666","Pan_reactive","Endothelial","D14",0.089390282079522,0.199459718505912,0.11006943642639,9
"GSE279666","Pan_reactive","Fibroblast","D3",0.0786548790364592,0.304581499883702,0.225926620847243,9
"GSE279666","Pan_reactive","Fibroblast","D14",0.0786548790364592,0.222373489341723,0.143718610305264,9
"GSE279666","Pan_reactive","Macrophage","D3",0.109476530023314,0.235327712235711,0.125851182212396,9
"GSE279666","Pan_reactive","Macrophage","D14",0.109476530023314,0.178279280356706,0.0688027503333919,9
"GSE279666","Pan_reactive","Microglia","D3",0.100650696957694,0.156406895148861,0.055756198191167,9
"GSE279666","Pan_reactive","Microglia","D14",0.100650696957694,0.230438877130637,0.129788180172943,9
"GSE279666","Pan_reactive","Neuron","D3",0.0494444435388844,0.131792723411488,0.0823482798726038,9
"GSE279666","Pan_reactive","Neuron","D14",0.0494444435388844,0.0851704151271685,0.0357259715882841,9
"GSE279666","Pan_reactive","Oligodendrocyte","D3",0.0522235251817173,0.206638187675043,0.154414662493326,9
"GSE279666","Pan_reactive","Oligodendrocyte","D14",0.0522235251817173,0.125455760515339,0.073232235333622,9
"GSE279666","Pan_reactive","OPC","D3",0.108468727184776,0.347773516576852,0.239304789392076,9
"GSE279666","Pan_reactive","OPC","D14",0.108468727184776,0.353172449859042,0.244703722674266,9
"GSE279666","Pan_reactive","Pericyte","D3",0.0598836198923262,0.301415540417304,0.241531920524977,9
"GSE279666","Pan_reactive","Pericyte","D14",0.0598836198923262,0.137003230446625,0.0771196105542993,9
"GSE279666","M1_markers","Astrocyte","D3",0.0377363028399051,0.0736510712688971,0.035914768428992,11
"GSE279666","M1_markers","Astrocyte","D14",0.0377363028399051,0.0965556700399081,0.058819367200003,11
"GSE279666","M1_markers","Endothelial","D3",0.0617319583932876,0.132049198294851,0.0703172399015634,11
"GSE279666","M1_markers","Endothelial","D14",0.0617319583932876,0.0980680882612012,0.0363361298679135,11
"GSE279666","M1_markers","Fibroblast","D3",0.0614582789945094,0.150840520635807,0.089382241641298,11
"GSE279666","M1_markers","Fibroblast","D14",0.0614582789945094,0.135899881861896,0.0744416028673869,11
"GSE279666","M1_markers","Macrophage","D3",0.0288049905210489,0.182178137987534,0.153373147466485,11
"GSE279666","M1_markers","Macrophage","D14",0.0288049905210489,0.168749102064395,0.139944111543346,11
"GSE279666","M1_markers","Microglia","D3",0.196263406925119,0.537851541973218,0.341588135048099,11
"GSE279666","M1_markers","Microglia","D14",0.196263406925119,0.47880333870898,0.282539931783861,11
"GSE279666","M1_markers","Neuron","D3",0.0320135977572684,0.0688309897991106,0.0368173920418422,11
"GSE279666","M1_markers","Neuron","D14",0.0320135977572684,0.0514641196547921,0.0194505218975237,11
"GSE279666","M1_markers","Oligodendrocyte","D3",0.0253392343107662,0.0474004739527967,0.0220612396420305,11
"GSE279666","M1_markers","Oligodendrocyte","D14",0.0253392343107662,0.048208010258707,0.0228687759479408,11
"GSE279666","M1_markers","OPC","D3",0.0386982381461776,0.0915840826830709,0.0528858445368932,11
"GSE279666","M1_markers","OPC","D14",0.0386982381461776,0.0751281501920752,0.0364299120458976,11
"GSE279666","M1_markers","Pericyte","D3",0.0704934317077127,0.132156390463005,0.0616629587552924,11
"GSE279666","M1_markers","Pericyte","D14",0.0704934317077127,0.0789444007826281,0.00845096907491538,11
"GSE279666","M2_markers","Astrocyte","D3",0.0277944151617877,0.111984264273448,0.0841898491116605,17
"GSE279666","M2_markers","Astrocyte","D14",0.0277944151617877,0.0385078782173061,0.0107134630555185,17
"GSE279666","M2_markers","Endothelial","D3",0.060938128038289,0.118847669875885,0.057909541837596,17
