"","Astrocyte..Control","Astrocyte..D14","Astrocyte..D3","Astrocyte..Sham","Endothelial..Control","Endothelial..D14","Endothelial..D3","Endothelial..Sham","Fibroblast..Control","Fibroblast..D14","Fibroblast..D3","Fibroblast..Sham","Macrophage..Control","Macrophage..D14","Macrophage..D3","Macrophage..Sham","Microglia..Control","Microglia..D14","Microglia..D3","Microglia..Sham","Neuron..Control","Neuron..D14","Neuron..D3","Neuron..Sham","Oligodendrocyte..Control","Oligodendrocyte..D14","Oligodendrocyte..D3","Oligodendrocyte..Sham","OPC..Control","OPC..D14","OPC..D3","OPC..Sham","Pericyte..Control","Pericyte..D14","Pericyte..D3","Pericyte..Sham"
"Bdnf",0.0235903728641836,0.0386782321210836,0.0504364674330973,0.0197041038091077,0,0.0147596500181187,0.00889220662782907,0,0,0.0322901877851078,0.00804909847581091,0.0164890026252969,0,0.0127405542822685,0.00934676436693723,0,0,0,0,0,0.105428408097639,0.0566505185894834,0.120247784946564,0.083410928558601,0,0.0304788999502348,0,0,0,0.024887757800792,0.0166781911969234,0,0,0,0,0
"Thbs1",0.00746510378899365,0.0187292619440125,0.24682240635075,0,0,0.0388869887920908,0.136008266593828,0,0.0642189555458537,0.0813554601409741,0.318705269111205,0.0680454262555834,0,0.0466693871758343,1.46149053621166,0,0,0,0,0,0.000897759524751581,0.00448446142228651,0.0851418558015903,0.000179224411191501,0,0.030425490114334,0.220269289301638,0,0,0,0.203920241740654,0,0,0.0834101723800781,0.135391495191488,0
"B2m",0.0216518337179766,0.0827580493889907,0.168863477700315,0.0137199327374446,0.307674206363152,0.399737001756502,0.261724101827697,0.535088935910407,0.0589243145342296,0.163908269843211,0.104791270974251,0.0648497525650417,0,0.496580549622489,0.380332667428533,0.187574105593778,0.374882522397423,1.71639388686718,2.43589113558924,0.502116477600256,0.0284383056609841,0.0486630102776166,0.0490826103114846,0.0350170936374211,0.0137254130411213,0.0991109556085588,0.121002845545433,0.0144128261391979,0.0326830003975583,0.0325680343061808,0.0687963838463073,0.0337749199584647,0.0601416505140192,0.106897153615624,0.0991905766247686,0.10868621146408
"Cst7",0,0,0,0,0,0,0,0,0,0.00268422348331411,0,0,0,0.0228519321073722,0.00264857374612448,0,0,0,0,0.0388207888551005,0.00243813218592155,0.000577494184954559,0.00131478853859934,0.00340769133345645,0,0,0,0,0,0,0,0,0,0,0,0
"Tm4sf1",0,0.058926345990886,0.0690738778050013,0,0.375888382837569,0.322551912679038,0.474222148371686,0.351930749947471,0.0195565862920815,0.0536819423828797,0.128039908254855,0.0285844121450945,0,0.00435860880508693,0.00625701432734206,0,0,0,0,0,0.00182656357099884,0.00225354382477805,0.00632363058183249,0.00121617589057086,0.0108508115694341,0,0,0,0,0,0.0396596494400417,0,0.207362027067706,0.230197264316766,0.261266385849742,0.109894723562761
"P2ry12",0.178317189979834,0.0922038410158916,0.0390416844901209,0.153808812869823,0,0,0.0229985420223981,0,0.0627617547174866,0.0141738803529558,0.0134437873630645,0.0124360026290534,0,0.244721870002706,0.126849733251593,0.602953837850235,1.6483440829694,1.26634619184652,0,1.62067723028391,0.365442455216602,0.135455942756555,0.0904449116235189,0.358495699792619,0.00396151169376131,0.0288294849592714,0.0275988665466592,0.0455070010909956,0.165350008891768,0.0198292212185156,0.065216586639125,0.176435714897469,0,0.0184393447595455,0.0185455507892122,0
"Fcrls",0,0.017555601154902,0.0330423996378201,0.0109872728173943,0.0470189216777062,0.0230422677676113,0.0445721915075033,0,0,0.0216233882204201,0.0490901725381719,0.0100822205642033,1.31050888548216,0.516236110666381,0.487481825732273,0.367663952045551,1.41239808556242,2.32930289784411,1.09016881625471,1.48610141888805,0.0042649902230329,0.0114205194238813,0.0477316205589229,0.00453750787246047,0.00944858236217029,0.0118582707343033,0.0626638414400507,0.0307184098275831,0.0103945103835764,0.0260497012268042,0.0953038943906112,0.00967517964250882,0,0,0.020035694363227,0
"S100a10",0,0.0471697721791774,0.0824662505430458,0.0044085547376387,0.0964393541332209,0.0605192377592296,0.0268670937371765,0,0.0872144767329817,0.068765914349505,0.0508287108157306,0.153693507827847,0,0.0231448161962561,0.0918542487369147,0,0,0,0,0,0.024592218360694,0.0199382922272357,0.0265961012220862,0.0258960976174104,0,0,0.0279882344416383,0.00978568756116673,0,0,0.0409198591637429,0,0,0.0163782193024643,0.0586749866843839,0
"Fcgr1",0,0.00486536436788862,0.00306163922727387,0,0,0,0.0118409990409076,0,0,0.00505770675159856,0.00299642000609874,0,0,0.102656787873325,0.310297780672167,0.187574105593778,0.208134526083444,0,1.31070490640084,0.189136126683172,0.00125416772964945,0.00181516210894152,0.00750396979049422,0.00187685226582147,0,0.0121756926769589,0.0187645912302172,0.00670359706633875,0,0,0.0388085427066913,0,0,0,0.0132142434520526,0
"Chil3",0,0.00531411078046814,0.00737482883209318,0,0,0,0,0,0,0.00146630431617435,0.020721096426446,0,0,0.0147490795352059,0.118927293469686,0,0,0,0,0,0.00284235366102356,0,0.0025026233495925,0.00291205178846973,0,0,0.0233849552963568,0,0,0,0,0,0,0,0,0
"Csf1",0.0618105471771374,0.229743535128891,0.308598579433042,0.0513644693573586,0.138196169903524,0.12144091804958,0.263502028756952,0.106406328212623,0.243601209851062,0.121708121310127,0.375807038968689,0.169790163060047,0,0.129070459174832,0.129732086693521,0,0.0605963893793403,0,0,0,0.0273668196653994,0.0338730181014036,0.0743117799252439,0.0289331349451559,0.136166813793054,0.370245200872102,0.50080930613035,0.105415637412757,0.0592312440851487,0.122751681595729,0.143513497977856,0.0325363798594532,0.0628074961256276,0.0841665313441731,0.168475785881709,0
"Nfkb1",0.298969247272592,0.776071226269939,0.504806698604405,0.306024083381923,0.368317354491407,0.664276511887369,0.789931547216121,0.311896617991454,0.422947046702089,0.713651500862232,0.909447747607627,0.486132410829912,0,0.713406106443822,0.639359322488785,0.786246345355463,0.532488078511992,1.70143627897016,1.40766205633975,0.372410613592584,0.23624292794885,0.414576394296012,0.436610447195238,0.257590296272077,0.161096061608116,0.36544432818695,0.366476873190588,0.109589259561806,0.37134679922623,0.629143634425964,0.623725612665284,0.333944732608051,0.424140106266757,0.56098721947982,0.819716107094386,0.226876836880162
"Gbp2",0,0.0275924517691441,0.0116558959387595,0,0.0471795469792464,0.0257467300274277,0.0322877752011361,0.0557676963428732,0.0406014046280095,0.0636460009488931,0.0627144245901825,0.0086290378007686,0,0.00827432036512385,0.0133740428078734,0,0,0,0,0,0,0.00207618465467943,0.00272705935601591,0.000152942900416582,0,0.0147121523270641,0.0115009753807657,0,0,0.0105653103760514,0.00814202428207726,0,0.0570129000628537,0.00904875009178738,0.0315879455207319,0
"Tlr4",0.0134589737716115,0.0742480627309796,0.109216302277307,0.0164573588414421,0,0.0990466723217563,0.216431145644467,0,0.112650178157114,0.110621110993224,0.079127207487139,0.0545815538462613,0,0.131044581046815,0.144672888505709,0.777297837581904,0.28814738696616,0.875765700265718,0,0.197263943738849,0.00140354967038112,0.00554747626751816,0.0101417485843397,0.00253697035265306,0.00721033801720229,0.022458404176258,0.0128612649241464,0,0,0.0152514029633606,0.0411563868479657,0.00967517964250882,0.0647867734639627,0.0622308164783732,0.213376944441885,0
"Spp1",0.00696101137780094,0.116211908134251,0.268282308151609,0,0,0.153098733942935,0.219302002774401,0,0.3269229969752,0.294065614100959,0.787578542006198,0.36910777107748,0,0.967332052365269,1.11421571046899,0,0,0,0,0,0.00201207937439129,0.0644428398616356,0.128283115495573,0.00244545244646248,0.0104406593008977,0.127524974982544,0.391980425409704,0,0,0.191943806959287,0.329609686166841,0.0132807782218833,0.250973202955347,0.231308783681853,0.18992414288789,0
"Tmem119",0,0,0,0.00809587721037344,0,0,0.00484360573444052,0,0.0352281398445412,0.0388132781497847,0.0179514784484735,0.0913827810829925,0,0.0627714408233603,0.0365379193478017,0,0.681520641989308,0,0,0.429272059432761,0.00264725327404027,0.00169471667552791,0.00235509654018268,0.00189484649220326,0,0,0,0,0.0136917233841528,0,0,0,0,0,0,0
"Gpnmb",0,0.112682687813972,0.225911658902733,0.0083010443072325,0,0.102721749554154,0.118269869592831,0,0,0.107742936052909,0.13108327610125,0,0,1.41710725513381,1.36572425191894,0,0,0,0,0,0.00274990580843383,0.0442857753047089,0.0908116727364128,0.00253892166042032,0,0.105344184277801,0.190832473911603,0,0.0126155687696084,0.117562038569582,0.296286882768812,0.0160797263879528,0,0.0742707519398923,0.0310452432437136,0
"Aldh1l1",0.354339134091163,0.542980115383957,0.634673863209629,0.288150129587659,0,0.00913914269425051,0.0113283067849088,0,0.0127819204372352,0.0162095655576815,0.0311308944241681,0.0253458988677539,0.25792755191025,0.00632679799007418,0.00130436487946848,0.1823360978081,0,0,0,0,0.0250119102077681,0.0573766191548133,0.0213828442765861,0.0290371539570787,0.00991832973088211,0,0.0363081068864084,0.00487034229678206,0,0.0353896250678008,0.0194726348019529,0.0107787732098106,0,0.0214398070156345,0,0
"Cd163",0.00877697531046471,0,0,0,0,0,0,0,0,0,0.00393570694355325,0,0.689823275815375,0.00733130637356406,0.0222792230752473,0.231127226718347,0,0,0,0,0.00871564857819463,0.00237926967892409,0.00491929129520013,0.00924239766768692,0,0,0,0.00730865954935259,0,0,0,0,0,0,0,0
"Tnfrsf1a",0.0396750866847797,0.0566841341265448,0.196939678826212,0.0343579893686474,0,0.0670100811371576,0.167143667412876,0,0.0155842292886137,0.077754712400292,0.198270416895333,0.0123332362890247,0.364603160543048,0.0719155567951367,0.136263314943178,0,0.0915880789893906,0,0,0.0198198914318084,0.000599669486644155,0.00295770766321032,0.00886749082232633,0.00146220812392824,0,0.0133815935488324,0.109982663239676,0,0.0259652592943922,0.0691459950124535,0.141974659602239,0.0123481511940742,0.0577480063576697,0.0152101394257917,0.104856199391378,0
"Cd9",0.092939596917066,0.294119600797524,0.132446711184284,0.0976382905656707,0.144747369925596,0.2854367104806,0.321363508477826,0.155639167566476,0.126228299002353,0.159928070597103,0.184541294496324,0.156116991862794,0.335650587198025,0.471982785836383,0.323596717544834,0.41633404876363,0.603066144090616,0.782702917970098,1.09016881625471,0.791857435297613,0.00889035126671229,0.0175952744356829,0.0298378271121826,0.0116242949476039,0.68428275811141,0.555323951071352,0.514882404853947,0.697373717263071,0.724618197955572,0.881519328848177,1.20079264307052,0.745806377167989,0.0628074961256276,0.0632469779379219,0.0859098636214148,0.113656776125347
