"","Astrocyte__Sham","Oligodendrocyte__Sham","Neuron__Sham","Microglia__Sham","Endothelial__Sham","Fibroblast__Sham","Neuron__MCAO_contra","Astrocyte__MCAO_contra","Oligodendrocyte__MCAO_contra","Microglia__MCAO_contra","Endothelial__MCAO_contra","Fibroblast__MCAO_contra","Fibroblast__MCAO_ipsi","Microglia__MCAO_ipsi","Neuron__MCAO_ipsi","Oligodendrocyte__MCAO_ipsi","Astrocyte__MCAO_ipsi","Endothelial__MCAO_ipsi"
"Satb1",0.155835985047046,0.107732674340738,0.346584912936662,0,0.145958312689408,0.0577193335226173,0.412305201844727,0.199891365439158,0.107419462714072,0.084304262565401,0.129678956328835,0.101691869329907,0.0578189674371129,0.0365256106182709,0.347197304436941,0.100942307313528,0.202525900238225,0.0727292502359719
"Sc5d",0.0934185821486588,0.0539794678229856,0.0686050689884768,0.0460142644271043,0.0675807200514652,0.0359405347181322,0.0914680796311433,0.0814846640973182,0.0696001163734982,0.0199086099156166,0.0579463991366942,0.0368297352582449,0.0608965215441073,0.032279062303189,0.10318700958732,0.104597647925592,0.0584704330371686,0.0587500198744571
"Slc20a1",0.298080551128071,0.0800215929023949,0.126545583568807,0,0.180918442903566,0.0631735914745507,0.154909672376006,0.401157867390303,0.0814447444538048,0.0865276251015328,0.235879742348012,0.085041410964446,0.285621627853041,0.180391569313591,0.188429933114066,0.189547333608846,0.98126112621388,0.367302718829373
"Smad7",0.0559009247762329,0.120292614804564,0.0675393242242678,0.0382779547945212,0.214131122342623,0.112918225926417,0.0853418720537963,0.082348676083687,0.179216943514382,0.105104499546604,0.465406120333275,0.076098415705736,0.138458560063594,0.147896505559684,0.0799112399198248,0.200963465488853,0.0823271604236854,0.306143543650936
"Sod1",0.0300957005093704,0.0137262554835772,0.0204966825441788,0,0.207440784659475,0,0.0263243845987131,0.0215695342381277,0.013287532840061,0.0179642041771537,0.264222481070328,0.0199787042363049,0.0295905484821498,0.0272921022414036,0.0302154791179827,0.0392038139449385,0.0635987397366196,0.096461403310543
"Sptan1",0.530915132196143,0.261575388958852,1.03241550433827,0.544037498641436,0.92448952379484,0.847007347680402,1.07978100847736,0.513041392636553,0.196509047577407,0.219686920109637,0.995051553002713,1.00890229087063,0.696247499357664,0.25029802235247,0.959332062959981,0.18781577708704,0.748867108419088,0.838906881150331
"Sqstm1",0.116293049473157,0.120199534192004,0.191926601780955,0.158172814713881,0.183355403734135,0.185147479254306,0.25193771703788,0.134714816346973,0.169180342546173,0.140957445171407,0.195400759930571,0.366278172281752,0.355416097154355,0.195985796030182,0.215246034365759,0.200669050412795,0.173042358943301,0.195192289446618
"Tap1",0.00580743135921809,0,0.00122432609764813,0,0.0138943781921317,0.0335620086471225,0.00145237458935382,0.0063066434257184,0,0.0456888083650199,0.031532450253,0.0041339578838162,0.0241579020326201,0.0601227086987276,0.00427034066036063,0.00478158001885916,0.0278619987630029,0.0565182733865989
"Tgfb2",0.0741730700243065,0.0536801400980255,0.0370705167697968,0,0.0342037613534224,0.0578662473495689,0.0595186608404556,0.116670127145355,0.0336142915983916,0.0183980395696887,0.0459109173157917,0.0944692641887636,0.12291011402816,0.0138464990068579,0.112895589037831,0.0481122214500739,0.165465489735305,0.0764986524574424
"Tgfbr3",0.218308915753398,0.0452318684944529,0.20952129861348,0.107423132622479,0.291431508649173,0.459026559389795,0.24396611906083,0.236083692659752,0.0416604396961296,0,0.410671920659081,0.779955264507334,1.00875244754136,0.0216067130282621,0.291266853603212,0.119072812493589,0.210666125412797,0.64076871232925
"Timp1",0,0,0.00102440906078578,0,0.0149038366634837,0.0164904345230741,0.00236453749492887,0.0019017811791231,0.000813421020049199,0,0.0132902316349498,0.119518659996519,0.398425810974923,0.0468043485601527,0.0153726621689787,0.0454845693109983,0.0788158145976745,0.153349642254784
