"Neuron--Control","Oligodendrocyte--Control","Astrocyte--Control","Fibroblast--Control","Pericyte--Control","Microglia--Control","OPC--Control","Endothelial--Control","Neuron--Sham","Astrocyte--Sham","Oligodendrocyte--Sham","Endothelial--Sham","Fibroblast--Sham","Microglia--Sham","OPC--Sham","Pericyte--Sham","Neuron--D3","Astrocyte--D3","Microglia--D3","OPC--D3","Oligodendrocyte--D3","Fibroblast--D3","Endothelial--D3","Pericyte--D3","Neuron--D14","Microglia--D14","Fibroblast--D14","Oligodendrocyte--D14","Astrocyte--D14","OPC--D14","Pericyte--D14","Endothelial--D14","gene","pathway"
0.00373283260349231,0.009139718997867,0,0.0500645069727892,0,0,0,0,0.00398555709682034,0,0,0,0,0,0.022370503579717,0.101456033064161,0.00856163429366464,0,0.00391127883658973,0.0113089694605817,0.0277267022136685,0.0225857265532855,0.0205322531303065,0.0355679715819,0.00473557350325897,0.00241877784285962,0.00843205847040005,0,0,0.0104706127108887,0.0155330176533763,0.02738345540004,"Bmp2","Apoptosis"
0.232792206835963,0.989554071094609,0.228635850444002,0.33640006332774,0.177663802989512,0.166508158598297,0.13110381062799,0.878071266942907,0.214879161519779,0.37170878968695,0.803973668895836,1.10426617223936,0.34066877634867,0.101131008198055,0.0867938490065941,0.176417946585339,0.274124360522429,0.44799352695012,0.57493430228882,0.20941033840296,1.21004355442409,0.466835159595765,0.704082366170518,0.590529349338885,0.264708629053271,0.518373565388169,0.251099966411291,1.12294802035064,0.49342954443229,0.251545072377366,0.220092775243769,0.816607463581485,"Bcl2l1","Apoptosis"
0.102959521782361,0.0854296313726296,0.17206420383616,0.181077327199432,0.115309155031086,0.0886947702376126,0.0993320719189622,0.0482654107064456,0.093088422696635,0.132272321230411,0.107435032821035,0.0995080111447766,0.145520044292309,0.130889505008805,0.0773732757267774,0.0583656873939346,0.220667436879821,0.698279251566907,0.319732424669402,0.189863367748389,0.297223532410614,0.372401591686878,0.393447235026708,0.343469944151759,0.141093238081325,0.240128545844114,0.227129498357864,0.178918983726929,0.272209991922895,0.193233356140122,0.134829301301033,0.166465330758603,"Chmp4b","Necroptosis"
0.530407717408124,0.824493092108118,0.512322195541887,0.671248023419898,0.57014302050536,0.75225751249557,0.426142590303389,0.320894352396785,0.516601801537049,0.520597176255293,0.767632303795384,0.729536997674293,0.640725734978972,0.721384948339493,0.559095321173731,0.44218692550468,0.861737759753192,0.383286436500201,0.652443904155964,0.735098777787079,0.756554143757394,0.987165641166281,0.824317372087431,0.802811757548311,0.733775458027401,0.61086985354948,1.04470121900992,0.928201981957594,0.638618514761823,0.787515876186062,0.727153906112979,0.66895096129105,"Itch","Necroptosis"
0.0728157683241715,0.0594057070823671,0.037338820766869,0.0372941362761798,0.0576945376303164,0.0885299000216119,0,0.212079035149354,0.0767757134083286,0.0553898527688558,0.0228514578937361,0.140187751738644,0.0448788588081336,0.0541142304998097,0,0.0466823392404912,0.0352210191806424,0.0444404135139166,0.00921656414252278,0,0.0172585818184815,0.0194879202841899,0,0,0.0348426679750215,0.0147195006477628,0.0182275169637689,0.0204580313616061,0.00316051156729388,0.0167117826374778,0.0158737006888981,0,"Map1lc3a","Ferroptosis"
0.13444966732107,0.13694315339787,0.157104814558783,0.0578209984496642,0,0,0.0331422718371633,0,0.141945947790811,0.0920111894254828,0.0868769685332356,0,0.0662832720720039,0,0.0573011341600233,0,0.0818728069330313,0.0726932531163567,0.0349605566199714,0.00814202428207726,0.0478896759467784,0.0580919501431087,0.0187657529263969,0.0711119650457699,0.088094326406998,0.0257234046693471,0.0562970454979404,0.134577868151767,0.0253481748083651,0.0560108025768936,0,0.0228852069960496,"Gss","Ferroptosis"
0.0619230570591555,0.00844958095135265,0.063389226745018,0.0804891503918159,0,0,0.039185111478051,0,0.0595896999254688,0.0434751180164532,0.00723542742123306,0,0.0541582836100298,0.0368113056406432,0.0111235196950359,0.0583656873939346,0.0125488899706233,0.00563969896026484,0.00571904750465765,0.00412279393892381,0,0.0100359914872231,0.00964621134970014,0.0530171448788819,0.0178049972654302,0.0190854772627983,0.00810520267726707,0,0.0140186648675215,0.0121241172888531,0.0802782992779288,0.0080098630699813,"Chmp4c","Necroptosis"
0.0895640800456595,0.0709421197668559,0.061739420126001,1.32516032020788,0.869115541767593,0.227354320411875,0.236044595479133,0.566365633296357,0.0801938174874636,0.0487475520146959,0.0915839246517505,0.710283212098343,0.947737172052616,0.160287958871442,0.123920365552371,0.852646730240465,0.0433876953324982,0.0730572589786177,0.053472409219906,0.269716563893481,0.0786463549142281,1.22940455874063,0.885398043385163,1.18373412734202,0.0633747639107168,0.104506625561863,0.635336094014391,0.108119175854569,0.734006108926481,0.484014894835007,1.68737521050605,0.911691467365999,"Cp","Ferroptosis"
0.000568878216953003,0,0.0105620953966261,0.019109124028699,0,0.0185360358357272,0,0.201260507253996,0.000400475005475422,0.00555297984834019,0,0.105340225209116,0.0212572453330675,0.0181105412902942,0,0,0.00204884817323949,0.00543643559682816,0.00404051409565546,0,0,0.0341835344831422,0.0738997404411982,0,0.00182236307032566,0.0201881395527154,0.00970822533975471,0,0.0119180388407586,0.0141852607723789,0,0.292494816321859,"Tnfsf10","Apoptosis"
0.013416602113292,0.0191772676543324,0.900166171357777,1.99215174976207,0,0.0193518933723525,0,0,0.013524205062449,0.781533181423497,0,0.103678078656662,1.59703918614658,0.0156927250718094,0.00948593563411187,0,0.0775403125567856,0.635437940634478,0.116997548791917,0.0616914674785882,0.119209725646279,1.35888559221533,0.0954748102560389,0.0949734663993901,0.0209613748158865,0.0460480475913251,0.298416017731099,0.044734409407329,0.539003586816802,0.0213403753051257,0.0233147474492532,0.0302139266714795,"Slc7a11","Ferroptosis"
