"","Neuron-Stroke","Oligodendrocyte-Stroke","Pericyte-Stroke","Fibroblast-Stroke","Endothelial-Stroke","Microglia-Stroke","Astrocyte-Stroke","OPC-Stroke","Neuron-Sham","Astrocyte-Sham","OPC-Sham","Oligodendrocyte-Sham","Microglia-Sham","Fibroblast-Sham","Pericyte-Sham","Endothelial-Sham"
"Ppt1",1.15270476542692,0.988342670621673,1.1808364059609,0.840303750137071,0.794367549214532,1.64533192654491,0.837309439559901,0.986278517814437,1.16935838146726,0.860476185191479,1.05080592433271,1.04493751349582,1.63188069834059,0.555253593515007,0.908220026302534,0.903815704015132
"Casp9",0.126818548908109,0.135588523582629,0.216600899834573,0.211318095695696,0.197896692293999,0.229808526512724,0.209011431675188,0.0944105634049199,0.127110589565233,0.154233334951886,0.0847800667408354,0.143766241751421,0.159266718822546,0.213673484276711,0.0898380614372885,0.105181475440372
"Dffa",0.347961458958337,0.304975852792787,0.211752106330833,0.260948951365272,0.169225729899635,0.195421178984532,0.252044136794058,0.259939046715996,0.347786537508894,0.199582640128123,0.267943847549637,0.211531433992721,0.119629398328914,0.229501273083729,0.257892593032976,0.250368208501778
"Hgf",0.150378537487153,0.0313656488534628,0.049582152304634,0.220064690588939,0.028193931718708,0.302246796610845,0.458540003391182,0.0482734284263026,0.169991003570558,0.349443670131973,0.0073450676891389,0.018245014191452,0.0558872584166595,0.0167214121507317,0,0.0283098543736708
"Add1",1.8058412906715,3.60066875219918,1.97666722015005,2.06482340116024,1.5570152283024,1.64902054697668,2.47513306294696,2.07893001822222,1.72625930389359,2.54854891599462,2.18590171991779,3.95892947478937,1.56383519629455,2.20059067841063,1.36148261714303,1.81235826995553
"Cd38",0.0440683892106977,0.00919593706894548,0,0.152287425597029,0.701478137485626,0.392990880134102,0.377863868976002,0.0262896270570345,0.0187102349431262,0.274248288055519,0,0.00620177548429734,0,0.112055534558096,0.192802522636657,0.253849711478797
"Coq2",0.455795857311454,0.411234151314128,0.352447448424574,0.398073063778863,0.397054280593145,0.368766437859548,0.366880447759075,0.40865705557858,0.522771266766571,0.549922040688346,0.601028205191467,0.508656845274167,0.383681753126839,0.656501634896268,0.231002977279864,0.752461414827695
"Tgfbr3",0.66751537853817,0.162056301403177,1.57658448095967,5.39636694701332,2.63122614560871,0.0805817060193261,0.175615006316937,0.174449925085326,0.538138365668292,0.154205066515951,0.2008784845731,0.143164242380221,0.0409580073280203,5.65568069036176,1.07726787219395,1.55517139532776
"Diablo",0.124395645424155,0.125076238469708,0.0968563528033546,0.0882306875622817,0.136273043495004,0.0909229261991737,0.190891903404463,0.160371581553057,0.132882321994376,0.12817387771731,0.109660146706917,0.131353585922528,0.0389611787117229,0.12838420937251,0.12440574674359,0.243032539445804
"Ubc",1.02738537558724,2.09063501030511,2.86906029176781,1.89413633799643,3.24934341131149,2.11859644876759,1.99625133225122,1.14263466497282,0.992039406831125,1.95041278619174,1.28726058954819,2.28407673426417,2.11584140629924,2.3860099932794,2.74927127187503,4.1543135876546
"Por",0.732735848733707,0.621124404617816,0.720662410656241,2.93601647758534,0.974922598366232,0.90014049375815,1.27970426659899,0.533007297430424,0.638525168847571,1.48838426087888,0.503822058446895,0.651717587462971,0.65142742491805,2.31384539235807,0.550719158135474,0.804554659952338
