gene,Astrocyte__Sham,Astrocyte__Stroke,Endothelial__Sham,Endothelial__Stroke,Macrophage__Sham,Macrophage__Stroke,Microglia__Sham,Microglia__Stroke,NK_cell__Sham,NK_cell__Stroke,OPC__Sham,OPC__Stroke,Oligodendrocyte__Sham,Oligodendrocyte__Stroke,Pericyte__Sham,Pericyte__Stroke
Csf1,0.115498655,0.22410715,0.12948185,0.17131296,0.031376723,0.41611663,0.0726444,0.29148355,0.055982564,0.2920073,0.054287724,0.114126176,0.18467632,0.2980519,0.054187734,0.12300375
Olr1,0.00075942127,0.002857304,0.00012997654,0.0008537683,0.0014516935,0.017709304,0.004198578,0.0033986908,0.020829817,0.017359326,0.0003039457,0.0008472691,0.0,0.00064896495,0.0010705454,0.0019874666
Ctsd,1.8501421,2.195022,1.4114815,1.7571616,2.5015435,2.99955,4.161622,3.9059093,1.7418319,2.2162502,2.2561257,2.444281,1.4112382,1.837684,1.3005228,1.659709
Sparc,1.4426972,1.9009815,2.8260512,3.1463985,0.8243035,1.108453,3.224419,2.4819508,0.8147297,1.0044229,1.2838044,1.2396837,0.94532835,1.1915445,2.4501333,2.7616735
Clcf1,0.00991468,0.035599694,0.006381439,0.0067386003,0.014320006,0.025059119,0.08615107,0.04399322,0.03290003,0.032010164,0.014503248,0.010794765,0.011821875,0.011002831,0.017037183,0.020540353
Nudt16,0.09401263,0.07063407,0.078984305,0.061566733,0.08467668,0.080167346,0.12282297,0.08958626,0.11023852,0.052817672,0.06503243,0.05344577,0.109253906,0.09019432,0.09081492,0.083412625
Gapdh,2.0675712,1.9801843,0.8122257,1.2520192,0.9351787,2.1062722,1.1756043,1.9440026,1.6356852,1.3980027,2.0209448,2.0676267,1.7772211,1.650854,1.3412474,1.4415703
C3,0.009898302,0.028718727,0.0013554487,0.0032363809,0.05751347,0.055963103,0.0020174938,0.0041828877,0.19934331,0.10496357,0.0064932723,0.010754346,0.0,0.0033775421,0.0007882805,0.0037407675
Ptgs2,0.0031145802,0.024932314,0.029885521,0.06277598,0.007719293,0.12111268,0.003013608,0.033268172,0.12814133,0.29694316,0.016489692,0.024931228,0.0019792682,0.02071915,0.0024532734,0.01821341
Cd163,0.010677605,0.015215027,0.0077832383,0.011125619,0.6254674,0.20035276,0.009789161,0.013912604,0.005489795,0.019904757,0.011897428,0.009034746,0.011489528,0.019099196,0.017831419,0.016406331
Lcn2,0.054165576,0.2647575,0.16154122,0.58727795,0.08521086,0.17886482,0.049799163,0.15734091,1.9332967,1.3194808,0.052924186,0.19050734,0.06966118,0.1715894,0.046123877,0.1522324
Pfkl,0.28737667,0.3105987,0.43322864,0.40060392,0.17076196,0.2748108,0.24261008,0.33306593,0.10384913,0.1783172,0.33895764,0.32265416,0.16399442,0.1833459,0.3060861,0.31900597
Iigp1,0.07599976,0.10557019,0.67319244,0.47215867,0.23918071,0.083531655,0.07245225,0.05041399,0.0858527,0.06265048,0.08761554,0.06537227,0.055644393,0.052738078,0.12347413,0.14924437
Hmox1,0.08066264,0.36906028,0.068444565,0.23499282,0.61102355,1.0928731,0.21509515,0.65459245,0.097317904,0.443406,0.06645327,0.18085372,0.040921792,0.22641021,0.04215837,0.1874301
Parp2,0.082019836,0.08582028,0.11164438,0.1253575,0.1418588,0.1297191,0.1315339,0.15654957,0.07566044,0.06374791,0.063449666,0.048864815,0.056078974,0.066714324,0.10819122,0.10832907
Fkbp5,0.031279795,0.15366957,0.02479677,0.14271854,0.14485916,0.19611588,0.18750755,0.31855333,0.052481104,0.14047937,0.05414509,0.094366305,0.044237874,0.2267138,0.028647475,0.103091374
Itgax,0.0,0.006787455,0.00088784995,0.005471911,0.05058024,0.09349754,0.012011845,0.028168088,0.040530756,0.06265521,0.0,0.0053335847,0.0,0.00596492,0.0,0.010996164
Oasl2,0.17195481,0.15064575,0.76237977,0.42470914,0.67790836,0.42117977,0.2808033,0.1573598,0.6102464,0.4419447,0.18495215,0.106168374,0.10661251,0.08713738,0.15854338,0.19357274
Mif,1.1681229,1.0187209,0.65626174,0.76743495,0.47841913,1.3532015,0.57177913,1.3140839,0.5326046,0.936556,1.7051729,1.7247031,1.4862943,1.1960963,0.8153024,0.87036735
Aifm1,0.12548356,0.14298946,0.08302826,0.109736085,0.0673049,0.11132605,0.07722505,0.12877344,0.074586995,0.07108917,0.19304086,0.22316997,0.106716104,0.09745583,0.07882041,0.114091575
Ccl2,0.08408185,0.65551126,0.060927026,0.44161022,1.2493832,2.0347347,0.5328918,2.0031133,0.08485426,0.5315026,0.080645,0.46453255,0.085998766,0.49234205,0.071337946,0.5693157
Mx1,0.005235414,0.018503986,0.0033890556,0.0049669277,0.082192,0.06721265,0.032130394,0.02140137,0.04938592,0.015167389,0.005722423,0.005843256,0.0063390355,0.0095904935,0.004074943,0.0063024876
Gas6,0.55048305,0.43703967,0.6749406,0.46024057,1.3544345,0.47267276,0.45781192,0.5996781,0.12608047,0.15953887,1.0027276,0.9379376,0.14292726,0.20405276,0.51133776,0.32930142
Fth1,3.2211986,3.7491753,3.4502501,3.9152253,4.1357403,4.7329206,3.5003898,4.120881,3.1822748,4.395366,3.6075356,3.8144138,5.2948155,5.3360343,3.950808,3.9313889
