"Oligodendrocyte--Sham","Microglia--Sham","Neuron--Sham","Pericyte--Sham","Endothelial--Sham","Astrocyte--Sham","OPC--Sham","Fibroblast--Sham","Neuron--MCAO","Astrocyte--MCAO","Microglia--MCAO","Oligodendrocyte--MCAO","OPC--MCAO","Fibroblast--MCAO","Endothelial--MCAO","Pericyte--MCAO","gene","pathway"
0.00322040526786924,0.0151153601131377,0.00617797316437626,0.0288281297641096,0.0591236326708936,0.00415255974457691,0.00488871715829634,0.020553404630221,0.015267206964203,0.0255043641806822,0.0808067594741325,0.0136225782492194,0.010480401788143,0.0500379122814939,0.0754370317604347,0.0765127684562208,"Slc39a8","Ferroptosis"
0.0443453624369039,0.161190230577381,0.04079034956563,0.114927490659036,0.09584407245842,0.0435905041191402,0.0528919994711176,0.0369117469465372,0.0374581534622236,0.0758249422259004,0.0875701932899397,0.0592900634725984,0.0530031768142566,0.0665917033816717,0.101002482229053,0.135499436639308,"Bcl10","Apoptosis"
0.00259083482257655,0.0120819229838627,0.00641216301864487,0.0241846122707179,0,0.0685187837469106,0.0033111286195012,0,0.0110678516050201,0.133455818640563,0.00694970183955227,0.013782564421658,0.00782773219968119,0.0249868225691318,0.0050374754372998,0.0362400865561037,"Cth","Apoptosis"
0.149550933461425,0.332907887235888,0.256683434067718,0.205842369092445,0.2459553074748,0.200242418687792,0.167484114121658,0.252500515518099,0.275312360527503,0.388249075960887,0.778811444644599,0.267889390957717,0.285627656357486,0.520864738707417,0.476787115989298,0.534626416611283,"Sdcbp","Necroptosis"
0.530395018407908,0.527657034473702,0.498899885581808,0.954449878602994,1.06319130598401,0.475123957880476,0.509873375603531,0.53266717801125,0.348168867574823,0.442938581326381,0.301400715987113,0.354664331699939,0.313997592308389,0.421095460694097,0.431037802732539,0.465417107943068,"Dnaja1","Apoptosis"
0.104952227554596,0.111658032232573,0.0994581058835062,0.137512112765209,0.168417244913441,0.0913424457194037,0.0891727174506918,0.0737628699378623,0.106905816005027,0.111851180127953,0.119126212429575,0.109142066876482,0.0853506129205995,0.14257429535924,0.15625157771183,0.170674526154512,"Chmp5","Ferroptosis"
0.0928167789736816,0.17790030678506,0.0627673746947306,0.240248941920976,0.367193985613096,0.0951130978792785,0.132559933179098,0.116355263890485,0.093583107320542,0.408600476144012,0.227788099773899,0.442675425289707,0.242473620296155,0.268106673782198,0.385057228838533,0.256301810102685,"Jun","Apoptosis"
0.268043766264052,0.333431651270262,0.417001160163952,0.26812491415752,0.23817438428019,0.218670507904011,0.345536074296158,0.276319819587276,0.3602461781743,0.263018811597042,0.600285968894134,0.286869977323968,0.333998802895275,0.342365960234873,0.126099263270614,0.343664727551745,"Ppt1","Apoptosis"
0.0414917406478388,0.0774132875629329,0.0536776268746468,0.0573160536730036,0.0570781066110148,0.0571829943606683,0.0263528902856352,0.0519547746115625,0.0518359642955006,0.0795064806988046,0.0970748150668448,0.0550273778952367,0.0496703208811578,0.0919849282082932,0.0262948195664416,0.0894594503403863,"Casp9","Apoptosis"
0.0723161748216155,0.0619133685286078,0.10425386325473,0.0592772624984493,0.051048325219582,0.0638063915440675,0.056403841787034,0.10080461959803,0.0966134901181094,0.0615775943730383,0.0575811669670504,0.0709977648851492,0.0755744578561269,0.0557584466997972,0.0321614353501966,0.0635762291848184,"Dffa","Apoptosis"
