"dataset","assay_type","species","model","stroke_condition","control_condition","cell_type","n_cells_stroke","n_cells_ctrl","mean_apoptosis_stroke","mean_apoptosis_ctrl","delta_apoptosis","mean_necroptosis_stroke","mean_necroptosis_ctrl","delta_necroptosis","mean_ferroptosis_stroke","mean_ferroptosis_ctrl","delta_ferroptosis"
"GSE276202","snRNA","Human","Stroke","Stroke_core","Control","OPC",94,32,-0.0325036465220837,-0.0110795926344168,-0.0214240538876669,-0.0171784781732016,0.0221334677270175,-0.0393119459002191,-0.0756103370424763,-0.0246351900186518,-0.0509751470238245
"GSE276202","snRNA","Human","Stroke","Stroke_core","Control","Oligodendrocyte",996,3,-0.00311964228053525,0.0614799235045933,-0.0645995657851286,0.00617673091392297,0.0677129381483816,-0.0615362072344586,-0.0246626002653554,0.0600210173569985,-0.0846836176223539
"GSE279666","snRNA","Mouse","MCAO","D3","Control","Astrocyte",248,339,0.0309981502181502,0.0122227713350117,0.0187753788831385,0.0284907194082784,0.0352301048460716,-0.0067393854377932,0.06187848907491,0.0858906051255251,-0.0240121160506151
"GSE279666","snRNA","Mouse","MCAO","D3","Control","Endothelial",182,63,0.0385950599086594,0.0693901428024827,-0.0307950828938233,0.0491944700610977,0.0528584772736833,-0.0036640072125856,0.0109260827612953,0.0445965605930499,-0.0336704778317546
"GSE279666","snRNA","Mouse","MCAO","D3","Control","Fibroblast",252,116,0.0291834119283998,0.0350586301223899,-0.0058752181939901,0.0386876936049208,0.071386410071835,-0.0326987164669142,0.0496169222683389,0.0770507163534881,-0.0274337940851492
"GSE279666","snRNA","Mouse","MCAO","D3","Control","Microglia",1423,154,0.033129451960999,0.0180296814686094,0.0150997704923896,0.0519436777712436,0.0696264802954683,-0.0176828025242247,0.0563520640149164,0.0256544818924098,0.0306975821225066
"GSE279666","snRNA","Mouse","MCAO","D3","Control","Neuron",1642,5313,-0.0360513146100946,-0.0144905832408415,-0.0215607313692531,-0.0510549463061229,-0.0173533152036901,-0.0337016311024328,-0.0529354120122564,-0.0115716836808884,-0.041363728331368
"GSE279666","snRNA","Mouse","MCAO","D3","Control","OPC",105,161,-0.0130156409010964,-0.0056725149393827,-0.0073431259617137,-0.0153621519059104,0.0127948687085554,-0.0281570206144658,-0.0193791234560488,-0.0243744427496063,0.0049953192935575
"GSE279666","snRNA","Mouse","MCAO","D3","Control","Oligodendrocyte",155,273,0.00774322133487565,0.0258551785930178,-0.0181119572581422,0.0185369483349956,0.0321441133853343,-0.0136071650503387,0.0354319583195453,0.0480468368327672,-0.0126148785132219
"GSE279666","snRNA","Mouse","MCAO","D3","Control","Pericyte",105,46,0.0240265928246574,0.0211279264643237,0.0028986663603337,0.0240515780290627,0.0171152592751071,0.0069363187539556,-0.00904206410162751,0.0319035953009292,-0.0409456594025567
"GSE300564","scRNA","Mouse","MCAO","Stroke_isotype","Sham","B_cell",112,18,-0.0015375709340772,-0.0127494292355916,0.0112118583015144,0.111471569885392,0.166930495038305,-0.055458925152913,0.0228002028750315,0.0458297941980069,-0.0230295913229754
"GSE300564","scRNA","Mouse","MCAO","Stroke_isotype","Sham","Endothelial",701,576,0.0945031213537811,0.0899176478358049,0.0045854735179762,0.074394274985489,0.0621161369731173,0.0122781380123717,0.111427443472108,0.0737778376147232,0.0376496058573848
"GSE300564","scRNA","Mouse","MCAO","Stroke_isotype","Sham","Macrophage",292,161,0.107687663779526,0.122410836981707,-0.014723173202181,0.144782318547927,0.151601363300838,-0.00681904475291101,0.10478165699962,0.0870488088679728,0.0177328481316472
"GSE300564","scRNA","Mouse","MCAO","Stroke_isotype","Sham","Microglia",1507,700,0.0548481903703859,0.0533138531014052,0.0015343372689807,0.0921038194991544,0.10947101399282,-0.0173671944936656,0.0242067813220085,0.0199336742634201,0.0042731070585884
"GSE300564","scRNA","Mouse","MCAO","Stroke_isotype","Sham","T_cell",256,72,0.0499887567788024,0.0660608136657975,-0.0160720568869951,0.153489415963828,0.179247241139113,-0.025757825175285,-0.0258800703301878,-0.0372543183067987,0.0113742479766109
"GSE310324","scRNA","Mouse","MCAO","Stroke","Sham","Macrophage",8040,883,0.13470070181223,0.167716464228553,-0.033015762416323,0.157272925779212,0.211118783512895,-0.053845857733683,0.149186771088677,0.150926172052698,-0.001739400964021
"GSE310324","scRNA","Mouse","MCAO","Stroke","Sham","Microglia",16960,10040,0.0625860156165114,0.0828062809356484,-0.020220265319137,0.0828960984223823,0.0997568795361604,-0.0168607811137781,0.10318265624346,0.102979182871773,0.000203473371686996
